2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,MA,25007.0,25007045000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,320000.0,80.0,6.25,0.5,2,2000.0,500.0,1000.0,1.5,300.0,300,3,1,0,0,0,1,0,360000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,200000.0,30.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40-49,35-49,No,,1,1
2024,99999,MI,26085.0,26085020000.0,VA:First Lien,Single Family (1-4 Units):Manufactured Home,Not Hispanic or Latino,White,Male,Loan originated,1,480000.0,85.0,5.75,0.25,2,6000.0,1400.0,1700.0,2.0,800.0,360,0,0,0,0,0,0,0,500000.0,Manufactured,Investment,Not Applicable,Not Applicable,1,0,300000.0,35.0,2,1,1,1,1,1,2,2,1,2,1,2,1,1,30-39,60-69,Yes,,1,1
2024,99999,AZ,04013.0,04013004000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan denied,2,500000.0,,6.25,0.5,1,4800.0,1200.0,1500.0,1.5,300.0,360,0,1,0,0,0,0,1,600000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,3,0,500000.0,38.0,2,2,1,1,1,2,2,1,1,1,1,2,2,1,40-49,50-59,No,,2,1
2024,99999,NC,37187.0,37187002000.0,FHA:First Lien,multifamily (5+ Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,700000.0,80.0,5.75,1.0,1,5000.0,1100.0,1300.0,2.0,500.0,360,0,0,0,0,0,0,0,800000.0,Site-Built,Investment,Not Applicable,Not Applicable,6,60000.0,700000.0,30.0,2,2,1,1,1,1,2,2,1,1,1,1,2,1,25-34,30-39,No,,1,1
2024,99999,MO,29165.0,29165030100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,450000.0,75.0,6.25,0.5,2,6000.0,1200.0,1500.0,2.0,500.0,240,0,0,0,0,0,0,0,500000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,400000.0,35.0,2,1,1,1,2,2,1,2,1,2,1,1,1,1,45-54,30-39,No,,2,1
2024,99999,WI,55013.0,55013015000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,Application approved for funding,1,520000.0,90.0,6.75,0.75,2,5500.0,1400.0,1700.0,2.5,400.0,300,0,0,0,0,0,0,0,580000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,400000.0,32.0,1,1,1,1,1,2,1,1,2,2,1,1,1,1,30-39,25-34,Yes,,1,1
2024,99999,CO,08031.0,08031048000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan approved but not accepted,3,650000.0,,7.25,0.1,2,6000.0,500.0,1000.0,0.5,0.0,360,0,0,0,1,1,1,1,900000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,500000.0,38.0,1,1,1,1,1,1,2,2,1,1,1,0,1,1,40-49,35-49,Yes,,1,1
2024,99999,RI,44007.0,44007000000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan originated,1,400000.0,78.0,5.50,0.25,2,6000.0,1400.0,1800.0,2.0,600.0,300,0,0,0,0,0,1,0,450000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,300000.0,35.0,1,1,1,1,1,2,2,1,1,1,2,2,1,1,50-59,55-64,No,,1,1
2024,99999,VT,50011.0,50011000000.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan approved but not accepted,1,620000.0,,6.5,1.0,1,9000.0,1600.0,2100.0,2.5,800.0,360,0,0,0,0,0,0,1,650000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,350000.0,40.0,2,1,1,1,1,1,1,1,1,2,1,2,1,2,30-39,40-49,No,,2,2
2024,99999,NE,31195.0,31195002452.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,380000.0,80.0,6.25,0.25,2,7500.0,1200.0,1700.0,2.0,0.0,360,0,0,0,0,0,0,0,400000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,300000.0,32.0,1,1,1,1,2,2,1,1,1,2,2,2,2,2,60-69,55-64,Yes,,1,1
2024,99999,OR,41013.0,41013024004.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,700000.0,90.0,7.00,0.5,2,5000.0,1100.0,1300.0,1.5,500.0,360,3,0,0,0,0,0,0,750000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,500000.0,38.0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,25-34,35-44,Yes,,1,1
2024,99999,IN,18087.0,18087002000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,Loan denied,2,800000.0,,7.25,0.25,2,6000.0,500.0,1000.0,1.5,0.0,360,3,1,0,0,0,0,0,850000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,400000.0,40.0,2,2,1,1,1,1,1,1,2,1,1,1,1,1,60-69,40-49,Yes,,1,1
2024,99999,AR,05077.0,05077007002.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Female,Loan originated,1,460000.0,75.0,6.00,0.5,2,8000.0,1300.0,1500.0,2.5,700.0,300,0,0,0,0,1,0,0,500000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,300000.0,30.0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,40-49,30-39,Yes,,2,1
2024,99999,OK,40095.0,40095020000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,500000.0,82.0,6.50,0.5,2,5000.0,1100.0,1300.0,1.5,200.0,300,0,0,0,0,1,0,0,540000.0,Site-Built,Investment,Not Applicable,Not Applicable,2,0,400000.0,35.0,1,1,1,1,1,2,2,1,2,2,2,1,2,1,30-39,35-49,Yes,,1,1
2024,99999,NH,33009.0,33009000000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,350000.0,80.0,6.5,0.5,2,6000.0,1200.0,1400.0,2.0,400.0,360,0,0,0,0,0,0,0,400000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,350000.0,35.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35-49,40-49,No,,1,1
2024,99999,SC,45037.0,45037020000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan denied,2,420000.0,,7.25,0.75,2,7500.0,1400.0,1800.0,2.5,800.0,360,0,0,0,1,0,0,0,450000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,400000.0,39.0,2,1,1,1,1,1,1,1,1,2,1,2,2,1,55-64,45-54,No,,1,1
2024,99999,ID,16041.0,16041020000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Female,Loan originated,1,580000.0,85.0,6.25,0.25,2,5500.0,500.0,800.0,2.0,300.0,360,0,0,0,0,0,1,0,600000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,500000.0,35.0,1,1,1,1,2,2,1,2,1,1,1,2,1,2,45-54,40-49,Yes,,2,2
2024,99999,MT,30087.0,30087005000.0,Conventional:First Lien,Single Family (1-4 Units):Site-BUILT,Not Hispanic or Latino,White,Male,Application received,1,800000.0,80.0,5.50,0.5,2,6000.0,1200.0,1400.0,1.5,0.0,360,0,0,0,0,1,1,1,800000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,500000.0,40.0,2,2,1,1,2,1,1,2,1,2,2,1,1,1,50-59,35-44,Yes,,1,1
2024,99999,VA,51031.0,51031060200.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Application approved for funding,1,800000.0,90.0,7.00,0.75,2,6000.0,1200.0,1400.0,2.0,800.0,360,0,0,0,0,0,1,0,820000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,600000.0,40.0,2,2,1,1,1,2,1,2,1,2,1,2,1,1,60-69,45-54,Yes,,2,2
2024,99999,MD,24035.0,24035000000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic or Latino,Female,Loan originated,1,720000.0,90.0,6.50,0.25,2,9000.0,1300.0,1700.0,3.0,300.0,300,3,1,0,0,0,0,0,750000.0,Site-Built,Investment,Not Applicable,Not Applicable,2,0,300000.0,35.0,2,1,1,1,1,1,2,1,1,2,1,2,1,1,30-39,35-44,Yes,,2,1
2024,99999,KY,21065.0,21065020000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,300000.0,82.0,6.00,0.5,2,5500.0,1000.0,1200.0,1.5,0.0,300,0,0,0,0,0,0,1,320000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,300000.0,35.0,1,1,1,1,1,1,2,2,1,2,2,1,1,1,40-49,50-59,Yes,,1,1
2024,99999,LA,22071.0,22071000200.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,350000.0,75.0,6.5,0.5,2,7000.0,800.0,1200.0,2.0,500.0,240,0,0,0,0,0,0,1,400000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,300000.0,35.0,2,2,1,1,1,2,1,2,1,2,1,2,1,1,30-39,35-49,Yes,,1,1
2024,99999,NV,32009.0,32009004000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,500000.0,80.0,7.00,0.25,2,6000.0,1300.0,1500.0,2.0,600.0,360,0,0,0,0,0,0,0,550000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,350000.0,37.0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,50-59,55-64,No,,2,2
2024,99999,ME,23011.0,23011025000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan denied,2,480000.0,,7.00,0.5,1,5000.0,1100.0,1300.0,1.5,500.0,360,0,0,0,1,0,0,0,500000.0,Site-Built,Investment,Not Applicable,Not Applicable,1,0,350000.0,38.0,1,1,1,1,2,1,1,2,1,1,2,1,1,1,25-34,40-49,Yes,,1,1
2024,99999,KS,20013.0,20013030000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,280000.0,80.0,5.50,0.25,2,6000.0,1000.0,1500.0,1.5,0.0,300,0,0,0,0,0,1,0,300000.0,Site-Built,Owner Occupied,Not Applicable,Not Applicable,1,0,250000.0,35.0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,30-39,40-49,Yes,,1,1
2024,9999
