data_year,agency_typename,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1996,County,KY,Kentucky,1996-08-08,0,2,1,1,0,Asian,Hispanic,2,Simple Assault,2.0,Parking Lot/Garage,Anti-Asian,Individuals,N,N
1999,State,OK,Oklahoma,1999-02-25,1,0,2,2,0,White,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley,Anti-Black or African American,Individual,N,N
2001,City,AR,Aransas,2001-10-12,0,1,1,0,1,Black,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,N,N
2004,County,UT,Utah,2004-06-04,0,0,2,1,1,Unknown,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Islamic,Property,N,N
2006,State,CT,Connecticut,2006-09-17,2,0,3,3,0,White,Hispanic,2,Simple Assault,2.0,Restaurant,Anti-Hispanic or Latino,Individuals,Y,N
2008,City,KS,Kansas,2008-03-28,1,1,1,1,0,American Indian,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-American Indian,Individuals,N,N
2010,County,IA,Iowa,2010-12-09,0,0,4,2,2,Black,Not Specified,0,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,N,Y
1992,State,MS,Mississippi,1992-07-30,1,0,2,1,1,White,Not Specified,1,Aggravated Assault,1.0,Parking Lot/Garage,Anti-Black or African American,Individual,N,N
1995,City,NE,Nebraska,1995-05-16,0,2,2,2,0,Black,Hispanic,2,Simple Assault,2.0,Highway/Road/Alley,Anti-White,Individuals,N,N
1998,County,NM,New Mexico,1998-01-11,2,0,1,1,0,White,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-Hispanic or Latino,Individuals,N,N
2000,State,NH,New Hampshire,2000-10-23,0,1,3,2,1,Asian,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Asian,Individual,N,N
2002,City,ME,Maine,2002-04-05,1,0,2,2,0,Unknown,Not Specified,1,Simple Assault,1.0,Church/Synagogue/Temple,Anti-Jewish,Individual,N,N
2005,County,WV,West Virginia,2005-11-02,0,0,1,0,1,White,Hispanic,0,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Hispanic or Latino,Property,N,N
2007,State,HI,Hawaii,2007-08-14,2,1,2,1,1,Black,Not Specified,3,Aggravated Assault,3.0,Restaurant,Anti-Black or African American,Individuals,Y,Y
2009,City,MT,Montana,2009-03-19,1,0,1,1,0,American Indian,Not Specified,1,Intimidation,1.0,Highway/Road/Alley,Anti-American Indian,Individual,N,N
2011,County,ND,North Dakota,2011-10-06,0,1,2,1,1,White,Not Specified,1,Simple Assault,1.0,School/College,Anti-Islamic,Individual,N,N
1994,State,ID,Idaho,1994-02-07,2,0,3,2,1,Black,Not Specified,2,Destruction/Damage/Vandalism of Property,0.0,Parking Lot/Garage,Anti-White,Property,N,Y
1997,City,VT,Vermont,1997-09-29,1,1,1,0,1,White,Not Specified,2,Intimidation,2.0,Residence/Home,Anti-Gay (Male),Individuals,N,N
2000,County,DE,Delaware,2000-06-12,0,0,2,1,1,Unknown,Hispanic,0,Simple Assault,0.0,Church/Synagogue/Temple,Anti-Jewish,Property,N,N
2002,State,AK,Alaska,2002-12-24,1,0,2,2,0,Asian,Not Specified,1,Aggravated Assault,1.0,Highway/Road/Alley,Anti-Asian,Individual,N,N
2004,City,RI,Rhode Island,2004-05-03,0,2,1,1,0,Black,Not Specified,2,Intimidation,2.0,School/College,Anti-Black or African American,Individuals,N,N
2006,County,WY,Wyoming,2006-01-18,2,0,3,2,1,White,Hispanic,2,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Hispanic or Latino,Property,Y,N
