activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,254900HA4DQWAE0W3342,23060,IN,18003.0,18003011609.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,32,1,2,2,2,275000.0,74.11,5.75,-0.183,2,18556.64,,11800.64,10505.64,,360,,,2,2,2,2,365000.0,1,1,3,5,1,,56.0,46,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,3,,,,,10,,,,7718,16.03,86900,199,1861,1948,25
2024,JJKC32MCHWDI71265Z06,24660,NC,37081.0,37081016011.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,165000.0,,6.875,,2,4485.58,,2290.63,2679.63,,360.0,,,2,2,2,2,175000.0,1,1,3,5,1,,49.0,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,5733,62.46,80700,92,693,979,31
2024,RVDPPPGHCGZ40J4VQ731,45294,FL,12057.0,12057010215.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,715000.0,,6.875,,2,7840.83,,2437.88,887.88,,360,,,2,2,2,2,885000.0,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,7762,62.24,88800,172,2019,2330,13
2024,549300VN9E1DEKF26E34,22744,FL,12011.0,12011020404.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,4,0,2,1,32,1,2,2,2,195000.0,,,,3,,,,,,360,,120,2,2,2,2,,1,1,3,5,1,,34.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,Yes,,1,1,6,,,,,10,,,,7846,92.11,89100,77,1935,2480,44
2024,549300KJ8PAJ7E52HG32,37340,FL,12009.0,12009061201.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,1,1,2,2,2,235000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,79.0,,9,9,1.0,14.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,2,1,3,,,,,10,,,,8439,26.84,99700,114,2471,3018,32
2024,549300121SF0K2LN2804,26420,TX,48039.0,48039661800.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,2,0,2,1,1,1,2,2,2,485000.0,70.81,6.875,-0.614,3,,,,,,360,,,2,2,2,2,695000,1,1,3,5,1,,250.0,41,2,1,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,8721,59.47,97400,125,2146,2462,22
2024,6BYL5QZYBDK8S7L73M02,17140,OH,39061.0,39061023901.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,4,2,2,2,2,75000.0,87.077,,,3,,,,,,60.0,,,2,2,2,2,215000.0,1,1,3,5,1,,94.0,50%-60%,11,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,7,,,,,3,,,,4902,30.6,103500,146,1277,1678,44
2024,X05BVSK68TQ7YTOSNR22,40060,VA,51041.0,51041101009.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2 or more minority races,Male,1,0,2,1,2,2,2,2,2,85000.0,75.226,8.46,1.87,2,0.0,,0.0,,,360.0,,,2,2,2,2,605000.0,1,1,3,5,1,,120.0,42,8,10,2.0,,,,,5.0,,,,,2,4,1.0,3.0,5.0,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,10,,,,8778,31.75,110000,121,1813,2114,15
2024,JJKC32MCHWDI71265Z06,19124,TX,48085.0,48085030518.0,NC,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,4,2,2,1,2,405000.0,56.37,6.99,-1.19,2,,,,,,360.0,,1.0,2,1,1,2,1005000.0,1,1,3,5,1,,394.0,20%-<30%,1,10,2.0,,,,,5.0,,,,,1,4,2.0,,,,,8.0,,,,,1,4,1,5,1,4,45-54,9999,No,,1,1,6,,,,,10,,,,9638,75.9,110300,203,2352,2458,7
2024,254900V6GCDMRQZ34D96,33124,FL,12086.0,12086000906.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,5,2,1,32,1,2,2,1,345000.0,65.00000,7.250,,3,,,,,,360,,,2,2,2,2,535000,1,3,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,2,2,6,,,,,10,,,,1986,96.73,79400,0,238,544,60
2024,03D0JEWFDFUS0SEEKG89,40060,VA,51760.0,51760020600.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,0,2,1,1,1,2,1,1,275000.0,75.0,10.24,,3,,,,,,360,,1.0,2,1,2,2,365000.0,1,3,3,5,1,,186.0,30%-<36%,9,2,2.0,,,,,2.0,,,,,2,2,26.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,1814,30.49,110000,157,496,976,0
2024,5493005ICQ3QGEIWV618,35614,NY,36047.0,36047069602.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,71,2,2,1,1,2,2,2,715000.0,92.68000,6.375,0.722,2,38656.68,,20966.68,18776.68,,360,,,2,2,2,2,755000,1,1,3,5,1,,143.0,47,9,3,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,1,2,2,55-64,45-54,Yes,No,1,1,3,,,,,10,,,,6275,42.98,101900,99,1615,2088,48
2024,549300PFJ7GCGDLB2E65,99999,GA,13157.0,13157010500.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,2,0,2,1,1,1,2,2,2,225000.0,80.00000,7.625,0.665,3,,,,,,360,,,2,2,2,2,285000,1,1,3,5,1,,70.0,47,7,10,1.0,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,5554,20.24,69300,112,1560,2229,27
2024,54930039UO39UJGI7078,12580,MD,24027.0,24027602302.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,71,2,3,1,1,2,2,2,565000.0,87.5,5.625,-0.752,2,5022.89,,1645.00,,150.00,360,,,2,2,2,2,645000,1,1,3,5,1,,176.0,38,2,10,2.0,,,,,5.0,,,,,2,4,2.0,,,,,8.0,,,,,2,4,1,5,2,4,45-54,9999,No,,1,1,1,,,,,10,,,,6876,51.43,122200,159,1581,1863,32
2024,549300FGXN1K3HLB1R50,13820,AL,1073.0,1073005905.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,2,2,2,32,1,2,2,2,95000.0,80.0,7.25,1.402,2,5509.28,,2226.33,1298.33,,360.0,,,2,2,2,2,115000.0,1,1,3,5,1,,64.0,48,1,10,2.0,,,,,5.0,,,,,2,4,2.0,23.0,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,1,1,3,,,,,10,,,,5577,86.5,90900,67,1395,2284,57
2024,E57ODZWZ7FF32TWEFA76,36084,CA,6001.0,6001442800.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,1,1,1,1,2,2,2,1145000.0,65.6,5.5,-0.35,2,8571.48,,1190.0,,2870.0,360,,84.0,2,2,2,2,1755000.0,1,1,3,5,1,,249.0,40,2,10,2.0,,,,,5.0,,,,,2,4,2.0,21.0,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,7.0,,,,10,,,,2959,76.78,155700,121,781,908,53
2024,549300DD4R4SYK5RAQ92,38060,AZ,4013.0,4013103214.0,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,3,1,1,2,2,2,575000.0,78.08,5.75,-0.784,2,12048.51,,997.89,2.89,,360.0,,,2,2,2,2,735000.0,1,1,3,5,1,,125.0,45,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,1,,,,,10,,,,3759,16.71,101300,160,1225,1449,35
2024,549300E2UX99HKDBR481,47764,MD,24033.0,24033800605,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,1,2,1,2,2,2,625000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,364.0,,9,9,2.0,,,,,2.0,,,,,2,2,3.0,,,,,3.0,,,,,2,2,2,1,2,2,35-44,25-34,No,No,1,1,1,,,,,10,,,,4867,90.71,128300,109,1156,1536,28
2024,549300FGXN1K3HLB1R50,99999,,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,8,0,1,1,1,1,2,2,2,515000.0,68,6.625,0.578,3,,,,,,360,,,2,2,2,2,765000,1,1,3,5,1,,182.0,30%-<36%,2,9,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,0,0.0,0,0,0,0,0
2024,254900DTLB5WWMBJAD86,28450,WI,55059.0,55059001500.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,71,2,2,1,1,2,2,2,125000.0,65.789,6.625,1.19,2,5328.50,,1240.00,165.00,,360,,,2,2,2,2,195000,1,1,3,5,1,,99.0,20%-<30%,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,3,,,,,10,,,,3709,34.83,97800,80,896,1350,0
2024,549300LYRWPSYPK6S325,17140,OH,39015.0,39015951202,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,2,2,3,1,1,2,2,2,305000.0,,6.25,,2,883.0,,0.0,1541.0,,360,,,2,2,2,2,315000.0,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,4818,6.48,103500,87,1536,1890,28
2024,X05BVSK68TQ7YTOSNR22,40140,CA,6071.0,6071009719.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,1,2,2,2,2,2,105000.0,,,,3,,,,,,360.0,,,2,2,2,2,,1,1,3,5,1,,150.0,,9,9,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,6,,,,,10,,,,3276,48.23,97500,134,615,972,31
2024,549300GPO6DWUZR4UY30,47764,DC,11001.0,11001005602.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,205000.0,80,5.99,-0.148,2,6791.01,,4315.10,2330.10,,360,,,2,2,2,2,255000,1,1,3,5,1,,73.0,39,3,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,25-34,9999,No,,1,1,1,,,,,10,,,,4100,38.93,128300,171,815,22,54
2024,549300XQVJ1XBNFA5536,99999,OK,40085.0,40085094200.0,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Hispanic or Latino,Race Not Available,Male,3,0,2,1,1,1,2,2,2,65000.0,,,,3,,,,,,276,,,2,2,2,2,,2,1,2,1,1,,,,9,10,1.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,7,,,,5027,25.68,69000,119,1321,2295,39
2024,549300D4ZYLSQ5LMTV35,29484,NJ,34029.0,34029732001.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,2,31,1,2,2,2,485000.0,91.43000,5.750,0.212,2,12869.42,,1595.00,,,360,,,2,2,2,2,525000,1,1,3,5,1,,162.0,40,2,2,3.0,,,,,3.0,,,,,2,2,6.0,,,,,6.0,,,,,2,2,3,3,2,2,45-54,45-54,No,No,1,1,3,,,,,10,,,,7025,11.13,135900,114,2230,2308,32
2024,549300C61LNGA8J8EF85,28140,KS,20091.0,20091051904.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,2,2,2,255000.0,54.348,6.375,-0.16,2,2535.0,,1300.0,,,360,,,2,2,2,2,465000.0,1,1,3,5,1,,137.0,37,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,65-74,55-64,Yes,Yes,1,1,6,,,,,10,,,,6318,22.24,103000,119,1772,2364,41
2024,549300AG64NHILB7ZP05,41740,CA,6073.0,6073013317.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,32,1,2,2,2,375000.0,54.134,7.125,0.285,2,3181.7,,1590.0,,3276.94,360.0,,,2,2,2,2,695000.0,1,1,3,5,1,,153.0,42,2,10,2.0,,,,,5.0,,,,,2,4,2.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,No,,1,1,1,,,,,10,,,,16159,87.8,119500,136,2863,3244,8
2024,549300SGD2RNJOEDDS24,40900,CA,6067.0,6067008128.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,2,2,75000.0,73.314000000,7.990,1.520000,2,0.00,,0.00,,7.30,240,,,2,2,2,2,445000,1,1,3,5,1,,142.0,30%-<36%,3,3,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,55-64,55-64,Yes,No,1,1,6,,,,,10,,,,2392,34.82,113700,75,717,886,43
2024,SS1TRMSN6BRNMOREEV51,38900,OR,41051.0,41051003401.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,725000.0,,7.125,,2,12815.6,,8349.6,6609.6,,360,,,2,2,2,2,805000.0,1,1,3,5,1,,,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,8888,8888,,,3,3,6,,,,,10,,,,3657,41.48,116900,89,892,1505,0
2024,5493004AS1SPBQOFDR49,19124,TX,48231.0,48231960900.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,1,72,2,1,5,1,2,2,1,135000.0,75.00000,7.500,,3,,,,,,360,,,2,2,2,2,185000,1,3,3,5,1,,,,1,1,2.0,,,,,2.0,,,,,2,2,2.0,26.0,,,,5.0,,,,,2,2,2,1,2,2,45-54,55-64,No,No,2,1,6,,,,,10,,,,5296,65.58,110300,50,635,1358,43
2024,549300YIQ7S7Z8PIHE53,16984,IL,17031.0,17031250600.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,2,32,1,2,2,2,305000.0,69.0,,,3,,,,,,360,,,2,2,2,2,445000.0,1,1,3,5,2,,57.0,50%-60%,3,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,45-54,9999,No,,1,1,3,,,,,1,,,,4203,98.74,109800,69,1029,1347,0
