incident_id,data_year,ori,pug_agency_name,pub_agency_unit,agency_type_name,state_abbr,state_name,division_name,region_name,population_group_code,population_group_description,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
183418,2016,MI5354000,Ludington,,City,MI,Michigan,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",2016-07-04,0.0,0.0,1,1.0,0.0,White,Unknown,1,Weapon Law Violations,0.0,Park/Playground,Anti-White,Society/Public,S,S
95213,2003,VA1030000,Chesapeake,,City,VA,Virginia,South Atlantic,South,2,"Cities from 100,000 thru 249,999",2003-02-21,,,2,,,Black or African American,Not Specified,1,Simple Assault,0.0,School/College,Anti-White,Individual,S,S
157063,2012,CA0491400,Sonoma County Junior College,,University or College,CA,California,Pacific,West,7,"Cities under 2,500",2012-06-19,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School-College/University,Anti-Hispanic or Latino,Government,S,S
1533829,2024,WASPD0000,Seattle,,City,WA,Washington,Pacific,West,1B,"Cities from 500,000 thru 999,999",2024-06-30,2.0,0.0,1,0.0,0.0,Black or African American,Unknown,1,Aggravated Assault,2.0,Park/Playground,Anti-Gay (Male),Individual,S,S
24299,1994,NJ0135000,Union Beach,,City,NJ,New Jersey,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",1994-12-28,,,1,,,White,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
77496,2001,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",2001-11-19,,,1,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Residence/Home,Anti-Jewish,Other,S,S
164321,2013,CT0001500,Bridgeport,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",2013-04-27,0.0,0.0,1,0.0,0.0,White,Not Specified,1,Simple Assault,3.0,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,Individual,S,S
1514880,2023,MA0110400,Brookline,,City,MA,Massachusetts,New England,Northeast,3,"Cities from 50,000 thru 99,999",2023-10-09,1.0,0.0,1,0.0,0.0,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Arab,Individual,S,S
128627,2007,OH0571400,Huber Heights,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",2007-07-07,,,0,,,Unknown,Not Specified,1,Motor Vehicle Theft,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
1461753,2021,HI0020000,Honolulu,,City,HI,Hawaii,Pacific,West,1B,"Cities from 500,000 thru 999,999",2021-07-02,1.0,0.0,1,1.0,0.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Islamic (Muslim),Individual,S,S
182217,2016,GAAPD0000,Atlanta,,City,GA,Georgia,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",2016-04-30,0.0,0.0,3,0.0,0.0,Black or African American,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
80595,2001,NY0590700,Yonkers,,City,NY,New York,Middle Atlantic,Northeast,2,"Cities from 100,000 thru 249,999",2001-04-23,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Jewish,Individual,S,S
167237,2013,NY0350200,Newburgh,,City,NY,New York,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2013-05-04,0.0,0.0,1,0.0,0.0,Black or African American,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Hispanic or Latino,Religious Organization,S,S
1489097,2022,NJ0081800,"Washington Township, Gloucester County",,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2022-04-11,,,0,0.0,0.0,Unknown,Unknown,0,Destruction/Damage/Vandalism of Property,,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Unknown,S,S
128456,2007,VTVSP0700,State Police:,St. Albans,State Police,VT,Vermont,New England,Northeast,9B,"MSA counties from 25,000 thru 99,999",2007-10-01,,,2,,,White,Not Specified,1,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Gay (Male),Individual,S,S
186714,2016,WA0330300,Kettle Falls,,City,WA,Washington,Pacific,West,7,"Cities under 2,500",2016-07-09,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Burglary/Breaking & Entering,1.0,Hotel/Motel/Etc.,"Anti-Multiple Races, Group",Individual,S,S
175619,2015,CA0360000,San Bernardino,,County,CA,California,Pacific,West,9A,"MSA counties 100,000 or over",2015-03-31,,,1,,,White,Not Specified,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
89252,2002,MD0130000,Harford,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",2002-05-02,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1480848,2021,CA0431300,San Jose,,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",2021-01-25,1.0,0.0,3,3.0,0.0,White,Hispanic or Latino,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
8097,1992,TX1740200,Nacogdoches,,City,TX,Texas,West South Central,South,4,"Cities from 25,000 thru 49,999",1992-10-25,,,1,,,White,Not Specified,1,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
1485582,2022,CA0194400,Manhattan Beach,,City,CA,California,Pacific,West,4,"Cities from 25,000 thru 49,999",2022-06-03,0.0,0.0,0,,,Not Specified,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School-Elementary/Secondary,Anti-Black or African American,Other,S,S
141239,2009,CA0195600,Redondo Beach,,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",2009-04-09,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Government,S,S
91885,2003,CA0431300,San Jose,,City,CA,California,Pacific,West,1B,"Cities from 500,000 thru 999,999",2003-07-23,,,1,,,Asian,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
28027,1995,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",1995-04-27,,,2,,,Multiple,Not Specified,1,Robbery,1.0,Other/Unknown,Anti-Gay (Male),Individual,S,S
151042,2011,CA0301100,Laguna Beach,,City,CA,California,Pacific,West,5,"Cities from 10,000 thru 24,999",2011-07-02,0.0,0.0,1,0.0,0.0,White,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
8800,1992,FL0640000,Volusia,,County,FL,Florida,South Atlantic,South,9A,"MSA counties 100,000 or over",1992-12-10,,,1,,,White,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
96094,2003,CA0331300,Riverside,,City,CA,California,Pacific,West,1C,"Cities from 250,000 thru 499,999",2003-12-12,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
59741,1999,MA0112200,Sharon,,City,MA,Massachusetts,New England,Northeast,5,"Cities from 10,000 thru 24,999",1999-04-28,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Jewish,Society/Public,S,S
1469680,2022,CO0622700,Garden City,,City,CO,Colorado,Mountain,West,7,"Cities under 2,500",2022-07-03,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
149951,2010,CT0007700,Manchester,,City,CT,Connecticut,New England,Northeast,3,"Cities from 50,000 thru 99,999",2010-06-18,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Religious Organization,S,S
83574,2002,AZ0100300,Tucson,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",2002-09-09,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Society/Public,S,S
83426,2001,VA1220000,Richmond,,City,VA,Virginia,South Atlantic,South,2,"Cities from 100,000 thru 249,999",2001-06-21,,,1,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Lake/Waterway/Beach,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
101135,2004,NJ0032400,Mount Holly Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",2004-06-01,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Unknown,S,S
24455,1994,NJ0201200,Plainfield,,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",1994-03-12,,,2,,,White,Not Specified,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
32882,1996,AZ0100000,Pima,,County,AZ,Arizona,Mountain,West,9A,"MSA counties 100,000 or over",1996-02-25,,,1,,,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
76663,2001,MOKPD0000,Kansas City,,City,MO,Missouri,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",2001-09-11,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,School/College,Anti-Islamic (Muslim),Individual,S,S
154639,2011,NY0303000,New York,,City,NY,New York,Middle Atlantic,Northeast,1A,"Cities 1,000,000 or over",2011-08-04,0.0,0.0,0,0.0,0.0,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
59413,1999,KS0870300,Wichita,,City,KS,Kansas,West North Central,Midwest,1C,"Cities from 250,000 thru 499,999",1999-11-07,,,3,,,White,Not Specified,1,Robbery,1.0,Other/Unknown,Anti-Black or African American,Individual,S,S
80463,2001,NJ0050700,North Wildwood,,City,NJ,New Jersey,Middle Atlantic,Northeast,6,"Cities from 2,500 thru 9,999",2001-07-01,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Other/Unknown,Anti-Hispanic or Latino,Individual,S,S
60963,1999,NY0510100,Suffolk County Police Department,,County,NY,New York,Middle Atlantic,Northeast,9A,"MSA counties 100,000 or over",1999-06-07,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Society/Public,S,S
128922,2007,TNMPD0000,Memphis,,City,TN,Tennessee,East South Central,South,1B,"Cities from 500,000 thru 999,999",2007-11-06,,,1,,,Black or African American,Not Specified,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
79138,2001,WI0300100,Kenosha,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",2001-09-17,,,2,,,White,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
138256,2009,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",2009-01-29,,,1,,,Black or African American,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
95651,2003,AZ0100300,Tucson,,City,AZ,Arizona,Mountain,West,1B,"Cities from 500,000 thru 999,999",2003-05-02,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Jewish,Individual,S,S
176895,2015,MA0053100,Swampscott,,City,MA,Massachusetts,New England,Northeast,5,"Cities from 10,000 thru 24,999",2015-06-20,,,1,,,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-Male,Individual,S,S
1460359,2021,WI0320100,La Crosse,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",2021-05-16,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Parking/Drop Lot/Garage,"Anti-Eastern Orthodox (Russian, Greek, Other)",Individual,S,S
22279,1994,TX2201200,Fort Worth,,City,TX,Texas,West South Central,South,1C,"Cities from 250,000 thru 499,999",1994-04-16,,,1,,,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-White,Individual,S,S
148717,2010,NJ0031300,Evesham Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2010-03-24,,,0,,,Unknown,Not Specified,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual,S,S
390634,2018,CA0430000,Santa Clara,,County,CA,California,Pacific,West,9B,"MSA counties from 25,000 thru 99,999",2018-03-21,1.0,0.0,0,0.0,0.0,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
149413,2010,NJ0181000,Hillsborough Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,4,"Cities from 25,000 thru 49,999",2010-05-27,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Jewish,Other,S,S
1406794,2019,OHCOP0000,Columbus,,City,OH,Ohio,East North Central,Midwest,1B,"Cities from 500,000 thru 999,999",2019-08-05,2.0,1.0,3,3.0,0.0,Multiple,Not Specified,2,Aggravated Assault;Destruction/Damage/Vandalism of Property,3.0,Residence/Home,Anti-White,Individual,M,S
1464883,2021,MA0091100,Cambridge,,City,MA,Massachusetts,New England,Northeast,2,"Cities from 100,000 thru 249,999",2021-11-21,2.0,0.0,0,,,Not Specified,Not Specified,2,Aggravated Assault;Simple Assault,2.0,Parking/Drop Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Individual,M,S
114510,2006,CT0001500,Bridgeport,,City,CT,Connecticut,New England,Northeast,2,"Cities from 100,000 thru 249,999",2006-04-01,,,1,,,Unknown,Not Specified,1,Intimidation,2.0,Service/Gas Station,Anti-White,Individual,S,S
1446098,2017,MI5515500,Menominee,,County,MI,Michigan,East North Central,Midwest,8C,"Non-MSA counties from 10,000 thru 24,999",2017-12-10,1.0,0.0,1,1.0,0.0,White,Not Specified,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual,S,S
390411,2018,CA0431300,San Jose,,City,CA,California,Pacific,West,1A,"Cities 1,000,000 or over",2018-11-10,1.0,0.0,2,2.0,0.0,Unknown,Unknown,1,Aggravated Assault,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
100581,2004,MI4143600,Grand Rapids,,City,MI,Michigan,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",2004-11-20,,,1,,,White,Not Specified,1,Aggravated Assault,0.0,Parking/Drop Lot/Garage,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
1512753,2023,TX0450000,Colorado,,County,TX,Texas,West South Central,South,8C,"Non-MSA counties from 10,000 thru 24,999",2023-12-06,2.0,0.0,1,1.0,0.0,White,Hispanic or Latino,1,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual;Law Enforcement Officer,S,S
140560,2009,TX0140400,Killeen,,City,TX,Texas,West South Central,South,2,"Cities from 100,000 thru 249,999",2009-12-29,,,1,,,White,Not Specified,2,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,M,S
8284,1992,WASPD0000,Seattle,,City,WA,Washington,Pacific,West,1B,"Cities from 500,000 thru 999,999",1992-03-18,,,1,,,White,Not Specified,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
136276,2008,OR0200200,Eugene,,City,OR,Oregon,Pacific,West,2,"Cities from 100,000 thru 249,999",2008-06-26,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,Other/Unknown,Anti-Black or African American,Business,S,S
154925,2011,NC0110100,Asheville,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",2011-01-07,0.0,0.0,0,0.0,0.0,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
194599,2017,NJ0110300,"Hamilton Township, Mercer County",,City,NJ,New Jersey,Middle Atlantic,Northeast,3,"Cities from 50,000 thru 99,999",2017-10-16,,,0,,,Unknown,Not Specified,0,Destruction/Damage/Vandalism of Property,,School/College,Anti-Black or African American,Other,S,S
58683,1999,CA0560800,Ventura,,City,CA,California,Pacific,West,3,"Cities from 50,000 thru 99,999",1999-02-06,,,2,,,White,Not Specified,1,Aggravated Assault,1.0,Restaurant,Anti-Hispanic or Latino,Individual,S,S
