activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_appliaction,initially_payable_to_institution
2024,31860,MA,25009,25009000402,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,685000,70,6.0,1.25,2,14500,6700,7800,2900,1100,360,,,2,2,2,2,,978571,1,1,3,5,1,,225000,19,1,1,2,2,1,1,2,2,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,32820,MD,24003,24003001604,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,365000,88,6.875,2.25,2,9200,4100,4900,1800,650,360,,,2,2,2,2,,414773,1,1,3,5,1,,105000,35,1,1,2,2,1,1,3,3,1,1,1,1,2,30-34,25-34,No,No,1,1
2024,34060,AL,1073,1073020101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,195000,80,7.875,3.0,2,6500,2900,3400,1200,450,360,,,2,2,2,2,,243750,1,1,3,5,1,,62000,39,1,1,1,1,1,1,5,5,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,35260,LA,22033,22033001800,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,285000,78,6.75,2.0,2,8100,3600,4300,1600,650,360,,,2,2,2,2,,365385,1,1,3,5,1,,92000,31,1,1,2,2,1,1,5,5,1,1,1,1,1,40-49,35-44,No,No,1,1
2024,12020,GA,13057,13057000703,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,32,65000,,8.5,3.75,3,,,,,150,,,2,2,2,2,,380000,1,1,3,5,1,,58000,58,3,10,3,3,2,2,6,6,2,2,3,3,3,55-64,9999,Yes,,1,1
2024,16340,CA,6075,6075040302,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Pacific Islander,Female,1,31,485000,90,6.625,2.0,2,10800,4800,5700,2100,800,360,,,2,2,2,2,,538889,1,1,3,5,1,,145000,30,1,1,2,2,1,1,7,7,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,18700,CT,9001,9001014200,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,425000,72,6.625,2.0,2,11200,5100,5900,2200,850,360,,,2,2,2,2,,590278,1,1,3,5,1,,165000,24,1,1,2,2,1,1,5,5,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,22140,PA,42003,42003030101,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,31,325000,85,6.5,1.75,2,8700,3900,4600,1700,650,360,,,2,2,2,2,,382353,1,1,3,5,1,,105000,32,1,1,1,1,1,1,3,3,1,1,1,1,1,30-34,25-34,No,No,1,1
2024,24660,OH,39169,39169011202,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,245000,83,7.375,2.5,2,7100,3200,3800,1400,500,360,,,2,2,2,2,,295181,1,1,3,5,1,,75000,36,1,1,2,2,1,1,5,5,1,1,1,1,2,40-49,35-44,No,No,1,1
2024,26580,MI,26125,26125003201,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,295000,89,6.75,2.25,2,8400,3700,4400,1600,600,360,,,2,2,2,2,,331461,1,1,3,5,1,,95000,33,1,1,2,2,1,1,2,2,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,28300,FL,12086,12086020103,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,365000,80,7.125,2.25,2,9200,4100,4900,1800,700,360,,,2,2,2,2,,456250,1,1,3,5,1,,115000,30,1,1,1,1,1,1,5,5,1,1,1,1,2,30-34,30-34,No,No,1,1
2024,30140,WA,53061,53061041506,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,31,485000,75,6.0,1.25,2,10100,4500,5300,1900,750,360,,,2,2,2,2,,646667,1,1,3,5,1,,155000,25,1,1,2,2,1,1,1,1,1,1,1,1,2,40-49,35-44,No,No,1,1
2024,32220,NC,37179,37179010402,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,31,285000,87,7.5,2.75,2,7800,3500,4200,1500,550,360,,,2,2,2,2,,327586,1,1,3,5,1,,88000,35,1,1,2,2,1,1,3,3,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,33340,NJ,34023,34023001103,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,525000,85,6.5,2.0,2,11800,5300,6200,2300,900,360,,,2,2,2,2,,617647,1,1,3,5,1,,185000,27,1,1,2,2,1,1,5,5,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,34580,VA,51013,51013030101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,585000,68,5.875,1.0,2,13200,6100,7100,2600,1000,360,,,2,2,2,2,,860294,1,1,3,5,1,,225000,18,1,1,2,2,1,1,2,2,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,35620,TX,48121,48121010509,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,345000,82,6.375,1.75,2,8400,3700,4400,1600,600,360,,,2,2,2,2,,420732,1,1,3,5,1,,125000,28,1,1,1,1,1,1,5,5,1,1,1,1,1,30-34,25-34,No,No,1,1
2024,12000,GA,13151,13151020104,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,32,35000,,9.25,4.25,3,,,,,120,,,2,2,2,2,,220000,1,1,3,5,1,,42000,68,3,10,3,3,2,2,6,6,2,2,3,3,3,65-74,9999,Yes,,1,1
2024,15180,CA,6071,6071029300,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Pacific Islander,Female,1,31,525000,87,6.375,1.75,2,11500,5100,6000,2200,850,360,,,2,2,2,2,,603448,1,1,3,5,1,,165000,29,1,1,2,2,1,1,7,7,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,17820,CT,9003,9003010300,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,395000,74,6.75,2.0,2,9800,4400,5100,1900,750,360,,,2,2,2,2,,533784,1,1,3,5,1,,155000,26,1,1,2,2,1,1,5,5,1,1,1,1,2,40-49,35-44,No,No,1,1
2024,21500,PA,42007,42007001203,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,31,425000,78,6.125,1.5,2,9600,4300,5000,1800,700,360,,,2,2,2,2,,544872,1,1,3,5,1,,165000,24,1,1,1,1,1,1,2,2,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,24020,OH,39113,39113000904,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,215000,88,7.625,2.75,2,6900,3100,3700,1300,480,360,,,2,2,2,2,,244318,1,1,3,5,1,,68000,38,1,1,2,2,1,1,3,3,1,1,1,1,2,30-34,25-34,No,No,1,1
2024,26140,MI,26111,26111008302,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,275000,91,6.875,2.25,2,7900,3500,4200,1500,550,360,,,2,2,2,2,,302198,1,1,3,5,1,,85000,34,1,1,2,2,1,1,5,5,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,27900,FL,12071,12071040506,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,415000,77,7.0,2.25,2,10100,4500,5300,1900,750,360,,,2,2,2,2,,539610,1,1,3,5,1,,145000,29,1,1,1,1,1,1,5,5,1,1,1,1,2,40-49,35-44,No,No,1,1
2024,29620,WA,53053,53053015604,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Male,1,31,545000,73,5.875,1.25,2,11800,5300,6200,2300,900,360,,,2,2,2,2,,746575,1,1,3,5,1,,185000,22,1,1,2,2,1,1,1,1,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,31620,NC,37129,37129001403,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,325000,81,6.625,2.0,2,8600,3800,4500,1600,650,360,,,2,2,2,2,,401235,1,1,3,5,1,,115000,27,1,1,2,2,1,1,2,2,1,1,1,1,2,30-34,25-34,No,No,1,1
2024,32700,NJ,34027,34027000802,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,31,465000,86,6.5,2.0,2,10800,4800,5600,2000,750,360,,,2,2,2,2,,540698,1,1,3,5,1,,155000,30,1,1,2,2,1,1,3,3,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,33860,VA,5180,5180010500,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,625000,69,6.125,1.75,2,13800,6400,7400,2700,1050,360,,,2,2,2,2,,905797,1,1,3,5,1,,235000,19,1,1,2,2,1,1,5,5,1,1,1,1,1,45-54,40-49,No,No,1,1
2024,34820,TX,48201,48201030405,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,1,31,385000,84,6.25,1.75,2,8900,3900,4600,1700,650,360,,,2,2,2,2,,458333,1,1,3,5,1,,135000,26,1,1,1,1,1,1,2,2,1,1,1,1,2,30-34,30-34,No,No,1,1
2024,12260,GA,13089,13089000702,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,7,32,55000,,8.75,3.75,3,,,,,140,,,2,2,2,2,,320000,1,1,3,5,1,,55000,52,3,10,3,3,2,2,6,6,2,2,3,3,3,50-54,9999,No,,1,1
2024,15680,CA,6073,6073021801,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,485000,89,6.375,1.75,2,11200,5000,5800,2100,800,360,,,2,2,2,2,,544944,1,1,3,5,1,,165000,28,1,1,2,2,1,1,5,5,1,1,1,1,1,40-49,35-44,No,No,1,1
2024,18020,CT,9005,9005010800,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,345000,79,7.0,2.5,2,8400,3700,4400,1600,600,360,,,2,2,2,2,,436709,1,1,3,5,1,,115000,31,1,1,2,2,1,1,3,3,1,1,1,1,2,35-44,30-34,No,No,1,1
2024,21840,PA,42011,42011071203,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,405000,81,6.375,1.75,2,9400,4200,4900,1800,700,360,,,2,2,2,2,,500000,1,1,3,5,1,,145000,27,1,1,1,1,1,1,5,5,1,1,1,1,1,35-44,30-34,No,No,1,1
2024,24460,OH,39171,39171000402,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,265000,83,7.25,2.5,2,7300,3300,3900,1400,520,360,,,2,2,2,2,,319277,1,1,3,5,1,,85000,32,1,1,2,2,1,1,2,2,1,1,1,1,2,30-34,25-34,No,No,1,1
