"date","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"2005","City","VA","Virginia","2005-06-01",3.0,0.0,2.0,2.0,0.0,"White","Not Specified",3,"Intimidation",3.0,"Public Housing","Anti-Multiple Groups","Other","S","S"
"2009","Suburban","OR","Oregon","2009-03-17",1.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Asian","Individual","S","S"
"1996","Rural","UT","Utah","1996-05-13",0.0,1.0,1.0,1.0,0.0,"Asian","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Gay (Male)","Individual","S","S"
"2001","City","CT","Connecticut","2001-01-24",2.0,0.0,3.0,3.0,0.0,"White","Not Specified",2,"Vandalism",2.0,"Park/Recreation Area","Anti-Hispanic or Latino","Individual","S","S"
"2007","Suburban","MO","Missouri","2007-10-31",1.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Jewish","Individual","S","S"
"2013","City","IA","Iowa","2013-06-25",1.0,0.0,2.0,2.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Asian","Individual","S","S"
"1997","Rural","WY","Wyoming","1997-08-14",0.0,1.0,1.0,1.0,0.0,"White","Not Specified",1,"Vandalism",1.0,"Park/Recreation Area","Anti-Gay (Female)","Individual","S","S"
"2006","City","DE","Delaware","2006-11-14",2.0,0.0,3.0,3.0,0.0,"Black or African American","Not Hispanic or Latino",2,"Aggravated Assault",2.0,"School/College","Anti-Multiple Groups","Other","S","S"
"2011","Suburban","PW","Puerto Rico","2011-03-28",1.0,0.0,2.0,2.0,0.0,"Asian","Not Hispanic or Latino",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Hispanic or Latino","Individual","S","S"
"1994","Rural","TN","Tennessee","1994-01-09",0.0,1.0,1.0,1.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Jewish","Individual","S","S"
"2009","City","ND","North Dakota","2009-09-02",1.0,0.0,2.0,2.0,0.0,"White","Not Specified",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Black or African American","Individual","S","S"
"2003","Suburban","RI","Rhode Island","2003-08-28",2.0,1.0,3.0,2.0,1.0,"Asian","Not Hispanic or Latino",3,"Intimidation",3.0,"Public Housing","Anti-Gay (Female)","Other","S","S"
"1992","Rural","ME","Maine","1992-07-25",0.0,1.0,1.0,1.0,0.0,"Black or African American","Not Hispanic or Latino",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-White","Individual","S","S"
"2008","City","MT","Montana","2008-04-19",1.0,0.0,2.0,2.0,0.0,"Unknown","Not Specified",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Multiple Groups","Individual","S","S"
"2005","Suburban","NE","Nebraska","2005-07-05",2.0,1.0,3.0,2.0,1.0,"White","Not Specified",3,"Aggravated Assault",3.0,"School/College","Anti-Asian","Other","S","S"
"2010","City","HI","Hawaii","2010-02-16",3.0,0.0,2.0,2.0,0.0,"Black or African American","Not Hispanic or Latino",3,"Intimidation",3.0,"Public Housing","Anti-Jewish","Other","S","S"
"1999","Rural","AR","Arkansas","1999-03-17",0.0,1.0,1.0,1.0,0.0,"Unknown","Not Specified",1,"Simple Assault",1.0,"Highway/Road/Alley/Street/Sidewalk","Anti-Hispanic or Latino","Individual","S","S"
"2007","City","KS","Kansas","2007-11-04",2.0,0.0,3.0,3.0,0.0,"Asian","Not Hispanic or Latino",2,"Vandalism",2.0,"Park/Recreation Area","Anti-Gay (Female)","Individual","S","S"
"2014","Suburban","LA","Louisiana","2014-01-27",1.0,0.0,2.0,2.0,0.0,"White","Not Specified",1,"Destruction/Damage/Vandalism of Property",1.0,"School/College","Anti-Asian","Individual","S","S"
