"Data Year","Agency Type Name","State Abbr","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
1999,"Local","GA","Georgia","1999-01-15","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
1999,"State","NV","Nevada","1999-03-20","1","0","2","1","1","White","Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
1999,"Federal","ID","Idaho","1999-06-25","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
1999,"Local","CT","Connecticut","1999-09-01","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
1999,"State","AL","Alabama","1999-11-15","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Business","Anti-Disability","Adult","No","No"
2000,"Federal","ME","Maine","2000-01-10","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2000,"Local","MN","Minnesota","2000-03-20","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2000,"State","SD","South Dakota","2000-06-25","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2000,"Federal","RI","Rhode Island","2000-09-01","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2000,"Local","ND","North Dakota","2000-11-15","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2001,"State","WY","Wyoming","2001-01-01","0","1","1","0","1","White","Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2001,"Federal","HI","Hawaii","2001-03-20","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2001,"Local","VT","Vermont","2001-06-25","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2001,"State","AK","Alaska","2001-09-01","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2001,"Federal","MD","Maryland","2001-11-15","0","1","1","0","1","White","Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2002,"Local","PA","Pennsylvania","2002-01-10","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2002,"State","CO","Colorado","2002-03-20","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2002,"Federal","NV","Nevada","2002-06-25","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2002,"Local","NM","New Mexico","2002-09-01","0","1","1","0","1","White","Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2002,"State","HI","Hawaii","2002-11-15","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2003,"Federal","UT","Utah","2003-01-01","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2003,"Local","OK","Oklahoma","2003-03-20","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2003,"State","WY","Wyoming","2003-06-25","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2003,"Federal","ME","Maine","2003-09-01","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2003,"Local","MS","Mississippi","2003-11-15","0","0","1","0","1","White","Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2004,"State","ND","North Dakota","2004-01-01","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2004,"Federal","GA","Georgia","2004-03-20","0","1","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2004,"Local","AZ","Arizona","2004-06-25","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2004,"State","VT","Vermont","2004-09-01","0","0","1","0","1","White","Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2004,"Federal","NE","Nebraska","2004-11-15","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2005,"Local","LA","Louisiana","2005-01-10","0","1","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2005,"State","WV","West Virginia","2005-03-20","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2005,"Federal","DE","Delaware","2005-06-25","0","0","1","0","1","White","Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2005,"Local","TN","Tennessee","2005-09-01","1","0","1","1","0","Asian","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2005,"State","KY","Kentucky","2005-11-15","0","1","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2006,"Federal","NH","New Hampshire","2006-01-01","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2006,"Local","SC","South Carolina","2006-03-20","0","0","1","0","1","Asian","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2006,"State","AK","Alaska","2006-06-25","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2006,"Federal","RI","Rhode Island","2006-09-01","0","1","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2006,"Local","MI","Michigan","2006-11-15","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2007,"State","NC","North Carolina","2007-01-01","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Juvenile","No","No"
2007,"Federal","WV","West Virginia","2007-03-20","1","0","2","1","1","Hispanic","Non-Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2007,"Local","UT","Utah","2007-06-25","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Adult","No","No"
2007,"State","ME","Maine","2007-09-01","1","0","1","1","0","White","Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2007,"Federal","AR","Arkansas","2007-11-15","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2008,"Local","IN","Indiana","2008-01-10","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
2008,"State","SC","South Carolina","2008-03-20","0","0","1","0","1","Black","Non-Hispanic","1","Anti-Disability","1","Residence","Anti-Disability","Adult","No","No"
2008,"Federal","SD","South Dakota","2008-06-25","1","0","2","1","1","White","Hispanic","2","Anti-Gender Identity","2","Business","Anti-Gender Identity","Adult","No","No"
2008,"Local","KY","Kentucky","2008-09-01","0","1","1","0","1","Asian","Non-Hispanic","1","Anti-Religious","1","School","Anti-Religious","Juvenile","No","No"
2008,"State","HI","Hawaii","2008-11-15","1","0","1","1","0","Hispanic","Non-Hispanic","1","Anti-Racial/Ethnic","1","Park","Anti-Racial/Ethnic","Adult","No","No"
