"Year","Agency Type","State","State Name","Incident Date","Adult Victims","Juvenile Victims","Total Offenders","Adult Offenders","Juvenile Offenders","Offender Race","Offender Ethnicity","Victims","Offense","Total Victims","Location","Bias","Victim Types","Multiple Offenses","Multiple Biases"
2005,State,ME,ME,2/15/2005,2,1,4,2,2,Asian,Non-Hispanic,3,"Simple Assault","3","Residence","Ethnicity","Adult",False,True
2006,Local,MS,MS,3/1/2006,3,4,5,3,2,Hispanic,Non-Hispanic,5,"Vandalism","5","Public Space","Sexual Orientation","Adult, Juvenile",True,False
2006,State,AR,AR,3/15/2006,4,1,6,4,2,Native American,Non-Hispanic,5,"Intimidation","5","Residence","Religion","Adult",True,False
2007,Local,MT,MT,4/1/2007,1,2,3,1,2,White,Non-Hispanic,3,"Simple Assault","3","Public Space","Disability","Adult, Juvenile",False,True
2007,State,AK,AK,4/15/2007,2,3,4,2,2,Asian,Non-Hispanic,5,"Vandalism","5","Residence","Ethnicity","Adult, Juvenile",False,True
2008,Local,LA,LA,5/1/2008,4,1,6,4,2,Hispanic,Non-Hispanic,5,"Intimidation","5","Public Space","Sexual Orientation","Adult",True,False
2008,State,RI,RI,5/15/2008,3,2,5,3,2,Native American,Non-Hispanic,5,"Vandalism","5","Residence","Religion","Adult, Juvenile",True,False
2009,Local,VT,VT,6/1/2009,1,2,3,1,2,White,Non-Hispanic,3,"Simple Assault","3","Public Space","Disability","Adult, Juvenile",False,True
2009,State,SD,SD,6/15/2009,2,1,4,2,2,Asian,Non-Hispanic,3,"Simple Assault","3","Residence","Ethnicity","Adult",False,True
2010,Local,ND,ND,7/1/2010,3,4,5,3,2,Hispanic,Non-Hispanic,5,"Vandalism","5","Public Space","Sexual Orientation","Adult, Juvenile",True,False
2010,State,KY,KY,7/15/2010,4,1,6,4,2,Native American,Non-Hispanic,5,"Intimidation","5","Residence","Religion","Adult",True,False
2011,Local,AL,AL,8/1/2011,1,2,3,1,2,White,Non-Hispanic,3,"Simple Assault","3","Public Space","Disability","Adult, Juvenile",False,True
2011,State,CT,CT,8/15/2011,2,3,4,2,2,Asian,Non-Hispanic,5,"Vandalism","5","Residence","Ethnicity","Adult, Juvenile",False,True
2012,Local,GA,GA,9/1/2012,4,1,6,4,2,Hispanic,Non-Hispanic,5,"Intimidation","5","Public Space","Sexual Orientation","Adult",True,False
2012,State,NE,NE,9/15/2012,3,2,5,3,2,Native American,Non-Hispanic,5,"Vandalism","5","Residence","Religion","Adult, Juvenile",True,False
2013,Local,OR,OR,10/1/2013,1,2,3,1,2,White,Non-Hispanic,3,"Simple Assault","3","Public Space","Disability","Adult, Juvenile",False,True
2013,State,HI,HI,10/15/2013,2,1,4,2,2,Asian,Non-Hispanic,3,"Simple Assault","3","Residence","Ethnicity","Adult",False,True
2014,Local,KS,KS,11/1/2014,3,4,5,3,2,Hispanic,Non-Hispanic,5,"Vandalism","5","Public Space","Sexual Orientation","Adult, Juvenile",True,False
