"Year","Agency Type","State","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"2004","County Police","PA","Pennsylvania","2004-02-01","1","0","1","1","0","A","W","1","Anti-Race","1","Church","Racial Bias","Adult","Yes","No"
"2004","City Police","RI","Rhode Island","2004-03-01","0","1","1","0","1","B","H","1","Anti-Government","1","School","Racial Bias","Juvenile","Yes","No"
"2004","State Police","SC","South Carolina","2004-04-01","1","0","2","1","1","W","H","2","Anti-Religious","2","School","Religious Bias","Adult/Juvenile","Yes","Yes"
"2004","Federal Bureau","SD","South Dakota","2004-05-01","3","0","4","3","1","W/H/B","H","4","Anti-Government","4","Church","Racial Bias","Adult","Yes","No"
"2004","County Police","TN","Tennessee","2004-06-01","0","1","1","0","1","A","W","1","Anti-Race","1","Park","Racial Bias","Juvenile","Yes","No"
"2004","City Police","TX","Texas","2004-07-01","1","0","1","1","0","B","H","1","Anti-Gender","1","School","Sexual Orientation Bias","Adult","Yes","No"
"2004","State Police","UT","Utah","2004-08-01","2","0","3","2","1","W/H","B","3","Anti-Religious","3","Church","Religious Bias","Adult","Yes","No"
"2004","Federal Bureau","VT","Vermont","2004-09-01","1","0","2","1","1","A","W","2","Anti-Government","2","Park","Racial Bias","Adult/Juvenile","Yes","Yes"
"2004","County Police","VA","Virginia","2004-10-01","0","1","1","0","1","B","H","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"2004","City Police","WA","Washington","2004-11-01","1","0","1","1","0","W","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"2004","State Police","WV","West Virginia","2004-12-01","0","1","1","0","1","A","W","1","Anti-Religious","1","Park","Racial Bias","Juvenile","Yes","No"
"2007","Federal Bureau","WI","Wisconsin","2007-01-01","2","0","3","2","1","W/H","B","3","Anti-Gender","3","School","Sexual Orientation Bias","Adult","Yes","No"
"2007","County Police","WY","Wyoming","2007-02-01","1","0","1","1","0","A","W","1","Anti-Race","1","Church","Racial Bias","Adult","Yes","No"
"2007","City Police","AL","Alabama","2007-03-01","0","1","1","0","1","B","H","1","Anti-Government","1","School","Racial Bias","Juvenile","Yes","No"
"2007","State Police","AK","Alaska","2007-04-01","1","0","2","1","1","W","H","2","Anti-Religious","2","Church","Religious Bias","Adult/Juvenile","Yes","Yes"
"2007","Federal Bureau","AZ","Arizona","2007-05-01","3","0","4","3","1","W/H/B","H","4","Anti-Government","4","Park","Racial Bias","Adult","Yes","No"
"2007","County Police","AR","Arkansas","2007-06-01","0","1","1","0","1","A","W","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"2007","City Police","CA","California","2007-07-01","1","0","1","1","0","B","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"2007","State Police","CO","Colorado","2007-08-01","2","0","3","2","1","W/H","B","3","Anti-Religious","3","School","Religious Bias","Adult","Yes","No"
"2007","Federal Bureau","CT","Connecticut","2007-09-01","1","0","2","1","1","A","W","2","Anti-Government","2","Park","Racial Bias","Adult/Juvenile","Yes","Yes"
"2007","County Police","DE","Delaware","2007-10-01","0","1","1","0","1","B","H","1","Anti-Race","1","School","Racial Bias","Juvenile","Yes","No"
"2007","City Police","FL","Florida","2007-11-01","1","0","1","1","0","W","H","1","Anti-Gender","1","Church","Sexual Orientation Bias","Adult","Yes","No"
"2007","State Police","GA","Georgia","2007-12-01","0","1","1","0","1","A","W","1","Anti-Religious","1","Park","Racial Bias","Juvenile","Yes","No"
