"Domain,FBI Hate Crime Statistics","Time Period,1991-2014","REQUIRED COLUMNS","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1995","Local",,1995,"City Police Department",,,"1995-01-17",0,1,1,0,1,Black,Non-Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Black","Juvenile","No","Anti-Racial"
"1994","Local",,1994,"Sheriff's Office",,,"1994-08-24",1,0,1,1,0,Native American,Native American,1,"Vandalism",1,"Commercial Area","Anti-Native American","Adult","Yes","Anti-Racial"
"1992","Local",,1992,"City Police Department",,,"1992-10-13",0,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Government"
"1995","Federal",,1995,"Federal Bureau of Investigation",,,"1995-06-09",0,0,1,0,1,Hispanic,Hispanic,1,"Intimidation",1,"Residential Area","Anti-Hispanic","Adult","No","Anti-Racial"
"1991","Federal",,1991,"Federal Bureau of Investigation",,,"1991-04-11",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Religious"
"1996","Local",,1996,"City Police Department",,,"1996-02-22",1,0,1,1,0,Black,Non-Hispanic,1,"Vandalism",1,"Commercial Area","Anti-Black","Adult","Yes","Anti-Racial"
"1994","Local",,1994,"Sheriff's Office",,,"1994-11-18",0,0,1,0,1,Native American,Native American,1,"Intimidation",1,"Residential Area","Anti-Native American","Juvenile","No","Anti-Racial"
"1992","Local",,1992,"City Police Department",,,"1992-01-24",0,1,1,0,1,Hispanic,Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1996","Federal",,1996,"Federal Bureau of Investigation",,,"1996-08-28",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Government"
"1994","Local",,1994,"City Police Department",,,"1994-07-05",0,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Religious"
"1993","Federal",,1993,"Federal Bureau of Investigation",,,"1993-09-14",0,1,1,0,1,Black,Non-Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Black","Juvenile","No","Anti-Racial"
"1992","Local",,1992,"Sheriff's Office",,,"1992-03-18",1,0,1,1,0,Native American,Native American,1,"Vandalism",1,"Commercial Area","Anti-Native American","Adult","Yes","Anti-Racial"
"1996","Local",,1996,"Sheriff's Office",,,"1996-01-15",0,0,1,0,1,Hispanic,Hispanic,1,"Intimidation",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1995","Federal",,1995,"Federal Bureau of Investigation",,,"1995-03-25",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Religious"
"1993","Local",,1993,"City Police Department",,,"1993-06-01",0,1,1,0,1,Black,Non-Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Black","Juvenile","No","Anti-Racial"
"1991","Local",,1991,"Sheriff's Office",,,"1991-09-20",1,0,1,1,0,Native American,Native American,1,"Vandalism",1,"Commercial Area","Anti-Native American","Adult","Yes","Anti-Racial"
"1994","Federal",,1994,"Federal Bureau of Investigation",,,"1994-12-02",0,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Government"
"1992","Local",,1992,"City Police Department",,,"1992-06-16",1,0,1,1,0,Black,Non-Hispanic,1,"Vandalism",1,"Commercial Area","Anti-Black","Adult","Yes","Anti-Racial"
"1996","Local",,1996,"City Police Department",,,"1996-03-29",0,0,1,0,1,Native American,Native American,1,"Intimidation",1,"Residential Area","Anti-Native American","Juvenile","No","Anti-Racial"
"1993","Local",,1993,"Sheriff's Office",,,"1993-02-01",0,1,1,0,1,Hispanic,Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1991","Federal",,1991,"Federal Bureau of Investigation",,,"1991-01-08",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Religious"
"1995","Local",,1995,"City Police Department",,,"1995-09-25",0,0,1,0,1,Native American,Native American,1,"Intimidation",1,"Residential Area","Anti-Native American","Adult","No","Anti-Racial"
"1994","Local",,1994,"Sheriff's Office",,,"1994-04-22",1,0,1,1,0,Black,Non-Hispanic,1,"Vandalism",1,"Commercial Area","Anti-Black","Adult","Yes","Anti-Racial"
"1992","Federal",,1992,"Federal Bureau of Investigation",,,"1992-09-21",0,1,1,0,1,Hispanic,Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Hispanic","Juvenile","No","Anti-Racial"
"1996","Local",,1996,"Sheriff's Office",,,"1996-06-18",1,0,2,2,0,White,Non-Hispanic,2,"Simple Assault",2,"Highway/Street","Anti-White","Adult","No","Anti-Government"
"1993","Local",,1993,"City Police Department",,,"1993-07-19",0,0,1,0,1,Native American,Native American,1,"Intimidation",1,"Residential Area","Anti-Native American","Juvenile","No","Anti-Racial"
"1991","Local",,1991,"City Police Department",,,"1991-03-23",1,0,1,1,0,Hispanic,Hispanic,1,"Vandalism",1,"Commercial Area","Anti-Hispanic","Adult","Yes","Anti-Racial"
"1994","Local",,1994,"Sheriff's Office",,,"1994-01-04",0,1,1,0,1,Black,Non-Hispanic,1,"Simple Assault",1,"Residential Area","Anti-Black","Juvenile","No","Anti-Racial"
"1992","Local",,1992,"Sheriff's Office",,,"1992-08-25",1,0,1,1,0,Native American,Native American,1,"Vandalism",1,"Commercial Area","Anti-Native American","Adult","Yes","Anti-Racial"
"1995","Local",,1995,"City Police Department",,,"1995-08-16",0,0,1,0,1,Hispanic,Hispanic,1,"Intimidation",1,"Residential Area","Anti-Hispanic","Adult","No","Anti-Racial"
