"Data Year","Agency Type Name","State Abbrev","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1996","County Sheriff","NY","New York","1996-11-01","0","1","1","1","0","White","Non Hispanic","2","Simple Assault","2","Road/Highway","Sexual Orientation","Juvenile","TRUE","TRUE"
"1997","Local Police","FL","Florida","1997-12-01","1","0","1","1","0","White","Non Hispanic","2","Intimidation","2","University/BCollege","Race/Ethnicity","Adult","FALSE","FALSE"
"1998","State Police","CA","California","1998-01-01","0","0","1","1","0","Asian","Non Hispanic","2","Aggravated Assault","2","Park","Sexual Orientation","Adult","TRUE","TRUE"
"1998","County Sheriff","IL","Illinois","1998-02-01","1","0","1","1","0","Black","Hispanic","2","Vandalism","2","Residential Area","Religion","Adult","FALSE","FALSE"
"1999","Local Police","TX","Texas","1999-03-01","0","1","1","1","0","White","Non Hispanic","2","Hate Crime Against People With Disability","2","University/BCollege","Disability","Juvenile","TRUE","TRUE"
"2000","State Police","NY","New York","2000-04-01","1","0","2","1","1","White","Non Hispanic","3","Simple Assault","3","Park","Sexual Orientation","Adult","FALSE","FALSE"
"2000","County Sheriff","FL","Florida","2000-05-01","0","0","1","1","0","Asian","Non Hispanic","2","Intimidation","2","Road/Highway","Race/Ethnicity","Adult","TRUE","TRUE"
"2001","Local Police","CA","California","2001-06-01","1","0","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","Residential Area","Sexual Orientation","Adult","FALSE","FALSE"
"2001","State Police","IL","Illinois","2001-07-01","0","1","1","1","0","Black","Hispanic","2","Vandalism","2","University/BCollege","Religion","Juvenile","TRUE","TRUE"
"2002","County Sheriff","TX","Texas","2002-08-01","1","0","2","1","1","White","Non Hispanic","3","Hate Crime Against People With Disability","3","Park","Disability","Adult","FALSE","FALSE"
"2002","Local Police","NY","New York","2002-09-01","0","0","1","1","0","Asian","Non Hispanic","2","Simple Assault","2","Road/Highway","Sexual Orientation","Adult","TRUE","TRUE"
"2003","State Police","FL","Florida","2003-10-01","1","0","1","1","0","White","Non Hispanic","2","Intimidation","2","University/BCollege","Race/Ethnicity","Adult","FALSE","FALSE"
"2003","County Sheriff","CA","California","2003-11-01","0","1","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","Residential Area","Sexual Orientation","Juvenile","TRUE","TRUE"
"2004","Local Police","IL","Illinois","2004-12-01","1","0","2","1","1","White","Non Hispanic","3","Vandalism","3","Park","Religion","Adult","FALSE","FALSE"
"2005","State Police","TX","Texas","2005-01-01","0","0","1","1","0","Asian","Non Hispanic","2","Hate Crime Against People With Disability","2","University/BCollege","Disability","Adult","TRUE","TRUE"
"2005","County Sheriff","NY","New York","2005-02-01","1","0","1","1","0","Black","Hispanic","2","Simple Assault","2","Road/Highway","Sexual Orientation","Adult","FALSE","FALSE"
"2006","Local Police","FL","Florida","2006-03-01","0","1","1","1","0","White","Non Hispanic","2","Intimidation","2","Residential Area","Race/Ethnicity","Juvenile","TRUE","TRUE"
"2006","State Police","CA","California","2006-04-01","1","0","2","1","1","White","Non Hispanic","3","Aggravated Assault","3","Park","Sexual Orientation","Adult","FALSE","FALSE"
"2007","County Sheriff","IL","Illinois","2007-05-01","0","0","1","1","0","Asian","Non Hispanic","2","Vandalism","2","University/BCollege","Religion","Adult","TRUE","TRUE"
"2007","Local Police","TX","Texas","2007-06-01","1","0","1","1","0","White","Non Hispanic","2","Hate Crime Against People With Disability","2","Road/Highway","Disability","Adult","FALSE","FALSE"
"2008","State Police","NY","New York","2008-07-01","0","1","1","1","0","Black","Hispanic","2","Simple Assault","2","Park","Sexual Orientation","Juvenile","TRUE","TRUE"
"2008","County Sheriff","FL","Florida","2008-08-01","1","0","2","1","1","White","Non Hispanic","3","Intimidation","3","Residential Area","Race/Ethnicity","Adult","FALSE","FALSE"
"2009","Local Police","CA","California","2009-09-01","0","0","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","University/BCollege","Sexual Orientation","Adult","TRUE","TRUE"
"2009","State Police","IL","Illinois","2009-10-01","1","0","1","1","0","Asian","Non Hispanic","2","Vandalism","2","Road/Highway","Religion","Adult","FALSE","FALSE"
"2010","County Sheriff","TX","Texas","2010-11-01","0","1","1","1","0","White","Non Hispanic","2","Hate Crime Against People With Disability","2","Park","Disability","Juvenile","TRUE","TRUE"
"2010","Local Police","NY","New York","2010-12-01","1","0","2","1","1","White","Non Hispanic","3","Simple Assault","3","Residential Area","Sexual Orientation","Adult","FALSE","FALSE"
"2011","State Police","FL","Florida","2011-01-01","0","0","1","1","0","Asian","Non Hispanic","2","Intimidation","2","University/BCollege","Race/Ethnicity","Adult","TRUE","TRUE"
"2011","County Sheriff","CA","California","2011-02-01","1","0","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","Road/Highway","Sexual Orientation","Adult","FALSE","FALSE"
"2012","Local Police","IL","Illinois","2012-03-01","0","1","1","1","0","White","Non Hispanic","2","Vandalism","2","Park","Religion","Juvenile","TRUE","TRUE"
"2012","State Police","TX","Texas","2012-04-01","1","0","2","1","1","Asian","Non Hispanic","3","Hate Crime Against People With Disability","3","University/BCollege","Disability","Adult","FALSE","FALSE"
"2013","County Sheriff","NY","New York","2013-05-01","0","0","1","1","0","Black","Hispanic","2","Simple Assault","2","Residential Area","Sexual Orientation","Adult","TRUE","TRUE"
"2013","Local Police","FL","Florida","2013-06-01","1","0","1","1","0","White","Non Hispanic","2","Intimidation","2","Road/Highway","Race/Ethnicity","Adult","FALSE","FALSE"
"2014","State Police","CA","California","2014-07-01","0","1","1","1","0","White","Non Hispanic","2","Aggravated Assault","2","Park","Sexual Orientation","Juvenile","TRUE","TRUE"
