"Data Year","Agency Type Name","State Abbreviation","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Description","Victim Types","Multiple Offense","Multiple Bias"
"1992","City or Town","OH","Ohio","1992-03-20",1,0,1,1,0,"Asian","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Asian","Adult","Yes","None"
"1992","Sheriff's Office","SC","South Carolina","1992-04-05",1,0,1,1,0,"White","Hispanic","1","Simple Assault","1","Residence","Anti-White","Adult","No","None"
"1992","Police Department","WA","Washington","1992-05-10",2,0,2,2,0,"Black","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Black","Adult","Yes","None"
"1992","City or Town","TN","Tennessee","1992-06-15",1,0,1,1,0,"Asian","Hispanic","1","Intimidation","1","Public Place","Anti-Asian","Adult","Yes","None"
"1992","Sheriff's Office","MO","Missouri","1992-07-01",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Simple Assault","2","Residence","Anti-Hispanic","Adult","Yes","None"
"1992","Police Department","CT","Connecticut","1992-08-05",1,0,1,1,0,"White","Non-Hispanic","1","Intimidation","1","Public Place","Anti-White","Adult","No","None"
"1992","City or Town","VT","Vermont","1992-09-15",2,0,2,2,0,"Black","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Black","Adult","Yes","None"
"1992","Sheriff's Office","KY","Kentucky","1992-10-01",1,0,1,1,0,"Asian","Hispanic","1","Simple Assault","1","Residence","Anti-Asian","Adult","No","None"
"1993","Police Department","MD","Maryland","1993-01-01",2,0,2,2,0,"White","Non-Hispanic","2","Intimidation","2","Public Place","Anti-White","Adult","Yes","None"
"1993","Sheriff's Office","LA","Louisiana","1993-02-15",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Black","Adult","No","None"
"1993","City or Town","NV","Nevada","1993-03-20",1,0,1,1,0,"Asian","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Asian","Adult","Yes","None"
"1993","Sheriff's Office","OR","Oregon","1993-04-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Anti-Hispanic","Adult","Yes","None"
"1993","Police Department","RI","Rhode Island","1993-05-10",1,0,1,1,0,"White","Hispanic","1","Simple Assault","1","Public Place","Anti-White","Adult","No","None"
"1993","City or Town","ND","North Dakota","1993-06-15",2,0,2,2,0,"Black","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Black","Adult","Yes","None"
"1993","Sheriff's Office","MS","Mississippi","1993-07-01",1,0,1,1,0,"Asian","Hispanic","1","Simple Assault","1","Residence","Anti-Asian","Adult","No","None"
"1993","Police Department","DE","Delaware","1993-08-05",1,0,1,1,0,"Hispanic","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Hispanic","Adult","Yes","None"
"1993","City or Town","AK","Alaska","1993-09-15",2,0,2,2,0,"White","Non-Hispanic","2","Vandalism","2","Residence","Anti-White","Adult","Yes","None"
"1993","Sheriff's Office","WY","Wyoming","1993-10-01",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Black","Adult","No","None"
"1994","Police Department","NE","Nebraska","1994-01-01",2,0,2,2,0,"Asian","Hispanic","2","Intimidation","2","Public Place","Anti-Asian","Adult","Yes","None"
"1994","Sheriff's Office","CO","Colorado","1994-02-15",1,0,1,1,0,"White","Non-Hispanic","1","Simple Assault","1","Residence","Anti-White","Adult","No","None"
"1994","City or Town","UT","Utah","1994-03-20",1,0,1,1,0,"Black","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Black","Adult","Yes","None"
"1994","Sheriff's Office","VT","Vermont","1994-04-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Anti-Hispanic","Adult","Yes","None"
"1994","Police Department","ME","Maine","1994-05-10",1,0,1,1,0,"White","Hispanic","1","Simple Assault","1","Public Place","Anti-White","Adult","No","None"
"1994","City or Town","ID","Idaho","1994-06-15",2,0,2,2,0,"Asian","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Asian","Adult","Yes","None"
"1994","Sheriff's Office","MT","Montana","1994-07-01",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Black","Adult","No","None"
"1994","Police Department","SD","South Dakota","1994-08-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1994","City or Town","HI","Hawaii","1994-09-15",1,0,1,1,0,"White","Hispanic","1","Intimidation","1","Public Place","Anti-White","Adult","No","None"
"1994","Sheriff's Office","NM","New Mexico","1994-10-01",1,0,1,1,0,"Asian","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Asian","Adult","No","None"
"1995","Police Department","IA","Iowa","1995-01-01",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1995","Sheriff's Office","KS","Kansas","1995-02-15",1,0,1,1,0,"White","Non-Hispanic","1","Simple Assault","1","Residence","Anti-White","Adult","No","None"
"1995","City or Town","MN","Minnesota","1995-03-20",1,0,1,1,0,"Black","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Black","Adult","Yes","None"
"1995","Sheriff's Office","OK","Oklahoma","1995-04-05",2,0,2,2,0,"Asian","Hispanic","2","Vandalism","2","Residence","Anti-Asian","Adult","Yes","None"
"1995","Police Department","AR","Arkansas","1995-05-10",1,0,1,1,0,"White","Hispanic","1","Simple Assault","1","Public Place","Anti-White","Adult","No","None"
"1995","City or Town","WV","West Virginia","1995-06-15",2,0,2,2,0,"Black","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Black","Adult","Yes","None"
"1995","Sheriff's Office","NC","North Carolina","1995-07-01",1,0,1,1,0,"Hispanic","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Hispanic","Adult","No","None"
"1995","Police Department","RI","Rhode Island","1995-08-05",1,0,1,1,0,"Asian","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Asian","Adult","Yes","None"
"1995","City or Town","GA","Georgia","1995-09-15",2,0,2,2,0,"White","Hispanic","2","Vandalism","2","Public Place","Anti-White","Adult","Yes","None"
"1995","Sheriff's Office","SC","South Carolina","1995-10-01",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Black","Adult","No","None"
"1996","Police Department","CT","Connecticut","1996-01-01",1,0,1,1,0,"White","Non-Hispanic","1","Intimidation","1","Public Place","Anti-White","Adult","No","None"
"1996","Sheriff's Office","ME","Maine","1996-02-15",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1996","City or Town","VT","Vermont","1996-03-20",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Black","Adult","No","None"
"1996","Sheriff's Office","NH","New Hampshire","1996-04-05",2,0,2,2,0,"Asian","Hispanic","2","Intimidation","2","Public Place","Anti-Asian","Adult","Yes","None"
"1996","Police Department","MA","Massachusetts","1996-05-10",1,0,1,1,0,"White","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-White","Adult","No","None"
"1996","City or Town","RI","Rhode Island","1996-06-15",2,0,2,2,0,"Black","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Black","Adult","Yes","None"
"1996","Sheriff's Office","NY","New York","1996-07-01",1,0,1,1,0,"Asian","Non-Hispanic","1","Intimidation","1","Residence","Anti-Asian","Adult","No","None"
"1996","Police Department","MD","Maryland","1996-08-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Simple Assault","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1996","City or Town","DE","Delaware","1996-09-15",1,0,1,1,0,"White","Hispanic","1","Intimidation","1","Public Place","Anti-White","Adult","No","None"
"1996","Sheriff's Office","WV","West Virginia","1996-10-01",2,0,2,2,0,"Black","Non-Hispanic","2","Vandalism","2","Residence","Anti-Black","Adult","Yes","None"
"1997","Police Department","TN","Tennessee","1997-01-01",1,0,1,1,0,"Asian","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Asian","Adult","No","None"
"1997","Sheriff's Office","KY","Kentucky","1997-02-15",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1997","City or Town","AL","Alabama","1997-03-20",1,0,1,1,0,"White","Non-Hispanic","1","Simple Assault","1","Residence","Anti-White","Adult","No","None"
"1997","Sheriff's Office","MS","Mississippi","1997-04-05",2,0,2,2,0,"Black","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Black","Adult","Yes","None"
"1997","Police Department","GA","Georgia","1997-05-10",1,0,1,1,0,"Asian","Hispanic","1","Intimidation","1","Public Place","Anti-Asian","Adult","Yes","None"
"1997","City or Town","SC","South Carolina","1997-06-15",2,0,2,2,0,"White","Non-Hispanic","2","Simple Assault","2","Public Place","Anti-White","Adult","Yes","None"
"1997","Sheriff's Office","LA","Louisiana","1997-07-01",1,0,1,1,0,"Black","Non-Hispanic","1","Intimidation","1","Residence","Anti-Black","Adult","No","None"
"1997","Police Department","NC","North Carolina","1997-08-05",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Vandalism","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1997","City or Town","VA","Virginia","1997-09-15",1,0,1,1,0,"Asian","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Asian","Adult","No","None"
"1997","Sheriff's Office","WV","West Virginia","1997-10-01",1,0,1,1,0,"White","Hispanic","1","Intimidation","1","Residence","Anti-White","Adult","No","None"
"1998","Police Department","ME","Maine","1998-01-01",1,0,1,1,0,"Black","Non-Hispanic","1","Simple Assault","1","Public Place","Anti-Black","Adult","No","None"
"1998","Sheriff's Office","VT","Vermont","1998-02-15",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Intimidation","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1998","City or Town","NH","New Hampshire","1998-03-20",1,0,1,1,0,"Asian","Non-Hispanic","1","Simple Assault","1","Residence","Anti-Asian","Adult","No","None"
"1998","Sheriff's Office","RI","Rhode Island","1998-04-05",2,0,2,2,0,"White","Non-Hispanic","2","Vandalism","2","Public Place","Anti-White","Adult","Yes","None"
"1998","Police Department","MA","Massachusetts","1998-05-10",1,0,1,1,0,"Black","Non-Hispanic","1","Intimidation","1","Public Place","Anti-Black","Adult","No","None"
"1998","City or Town","CT","Connecticut","1998-06-15",2,0,2,2,0,"Hispanic","Non-Hispanic","2","Simple Assault","2","Public Place","Anti-Hispanic","Adult","Yes","None"
"1998","Sheriff's Office","MD","Maryland","1998-07-01",1,0,1,1,0,"Asian","Non-Hispanic","1","Intimidation","1","Residence","Anti-Asian","Adult","No","None"
