"activity_year","derived_msa-md","state_code","county_code","census_tract","derived_loan_product_type","derived_dwelling_category","derived_ethnicity","derived_race","derived_sex","action_taken","loan_purpose","loan_amount","loan_to_value_ratio","interest_rate","rate_spread","hoepa_status","total_loan_costs","total_points_and_fees","origination_charges","discount_points","lender_credits","loan_term","prepayment_penalty_term","intro_rate_period","negative_amortization","interest_only_payment","balloon_payment","other_nonamortizing_features","property_value","construction_method","occupancy_type","manufactured_home_secured_property_type","manufactured_home_land_property_interest","total_units","multifamily_affordable_units","income","debt_to_income_ratio","applicant_credit_score_type","co-applicant_credit_score_type","applicant_ethnicity-1","co-applicant_ethnicity-1","applicant_ethnicity_observed","co-applicant_ethnicity_observed","applicant_race-1","co-applicant_race-1","applicant_race_observed","co-applicant_race_observed","applicant_sex","co-applicant_sex","applicant_sex_observed","co-applicant_sex_observed","applicant_age","co-applicant_age","applicant_age_above_62","co-applicant_age_above_62","submission_of_application","initially_payable_to_institution"
"2024","99999","MI","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","IN","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","250000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","CT","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","NV","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","300000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","99999","NJ","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Male","6","32","325000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","12054","AZ","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Female","File closed for incompleteness","32","275000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","OR","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","225000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","UT","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","CO","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","ID","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","275000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","WV","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","KY","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","99999","ME","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Male","6","32","225000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","12054","AK","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Female","File closed for incompleteness","32","275000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","RI","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","LA","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","ND","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","HI","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","275000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","VT","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","SC","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","MO","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Male","6","32","325000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","12054","MS","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Female","File closed for incompleteness","32","275000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","TN","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","WY","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","DE","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","AR","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","275000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","AL","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","NC","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","OK","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Male","6","32","325000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","12054","GA","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Female","File closed for incompleteness","32","275000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","GA","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","SC","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","FL","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","PA","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","275000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","TX","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","CA","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","IN","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Male","6","32","325000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","12054","IA","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Female","File closed for incompleteness","32","275000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","OH","42127.0","42127960600.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Ethnicity Not Available","Race Not Available","Sex Not Available","Application denied","32","325000.0",",,,3,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","55-64","9999","Yes","","1","1"
"2024","12054","TN","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","225000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","99999","IL","25054.0","25054210529.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","Black","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
"2024","12054","MO","11121.0","11121010529.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Hispanic or Latino","Asian","Male","6","32","275000.0",",,,6,,,,,,360,,,2,2,2,2,,1,1,3,5,1","","108.0","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","45-54","9999","Yes","","1","1"
"2024","99999","GA","13121.0","13121010529.0","Conventional:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","325000.0",",,,2,,,,,,240,,,2,2,2,2,,1,1,3,5,1","","96.0","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","35-44","9999","Yes","","1","1"
