EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
CrestView Security,80.1|80.2,14.9,12.7,27.6,23.4,79.8,67.1,49.5,50.5,52.3,47.7,57.6,42.4,64.1,35.9,Small,2024-10-07
NovaRail Services,49.1|49.2,11.4,9.0,21.3,17.9,76.8,63.4,58.9,41.1,61.3,38.7,64.6,35.4,68.4,31.6,Large,2025-03-14
BrightPath Education,85.1|85.2,10.3,8.0,19.0,15.6,74.2,61.0,43.7,56.3,46.4,53.6,51.1,48.9,56.7,43.3,Medium,2024-11-30
Silverline Finance,64.1|64.2,20.9,18.7,38.2,33.8,87.1,73.9,44.2,55.8,47.5,52.5,53.2,46.8,59.4,40.6,Medium,2025-01-18
EcoSphere Renewables,35.1|35.2,12.0,9.6,23.0,19.6,77.5,64.1,53.1,46.9,55.7,44.3,59.5,40.5,65.2,34.8,Small,2024-12-05
QuantumCore AI,63.1|63.2,25.1,22.9,45.7,41.3,92.4,79.1,39.8,60.2,43.1,56.9,48.9,51.1,55.3,44.7,Large,2025-02-25
AtlasForge Engineering,28.1|28.2,13.6,11.2,25.3,21.0,78.9,66.3,56.4,43.6,58.8,41.2,62.3,37.7,67.0,33.0,Medium,2024-10-21
VitaCare Clinics,86.1|86.2,8.6,6.3,16.4,13.0,72.0,59.3,45.9,54.1,48.6,51.4,53.8,46.2,59.5,40.5,Large,2025-03-08
MeridianMarkets,46.1|46.2,15.8,13.6,29.5,25.2,82.3,69.1,50.1,49.9,52.9,47.1,58.0,42.0,64.2,35.8,Medium,2024-11-25
TitanWorks Manufacturing,25.1|25.3,11.7,9.3,22.0,18.6,76.4,63.0,60.2,39.8,62.6,37.4,65.9,34.1,69.5,30.5,Large,2025-01-11
ClearView Optics,46.1|46.2,17.2,15.0,31.4,27.1,83.6,70.4,47.0,53.0,49.8,50.2,55.3,44.7,61.7,38.3,Small,2024-12-30
NovaLegal Partners,69.1|69.2,21.8,19.6,39.7,35.3,89.3,76.1,42.9,57.1,46.2,53.8,52.1,47.9,58.3,41.7,Medium,2025-02-18
RiverRun Publishing,58.1|58.2,14.5,12.3,27.2,22.9,79.6,67.0,48.8,51.2,51.6,48.4,56.8,43.2,62.9,37.1,Small,2024-10-12
EcoLogistics UK,49.1|49.2,9.7,7.4,18.5,15.1,73.7,61.0,56.7,43.3,59.1,40.9,62.4,37.6,67.2,32.8,Large,2025-03-21
AstraChem Labs,20.1|20.2,16.9,14.7,30.6,26.3,82.0,68.9,49.7,50.3,52.5,47.5,57.7,42.3,63.4,36.6,Medium,2024-11-14
PhoenixRise Consulting,70.1|70.2,22.9,20.7,41.4,37.0,89.8,76.6,41.5,58.5,44.9,55.1,50.6,49.4,57.2,42.8,Small,2025-01-27
WillowHaven Hotels,55.1|55.2,12.4,10.2,24.1,20.5,78.0,65.3,49.6,50.4,52.3,47.7,57.5,42.5,63.8,36.2,Large,2024-12-15
