2004,City,NY,New York,2004-05-13,,,0,Unknown,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,1.0,Street,Anti-Hispanic or Latino,Other,S,S
2003,County,LA,Louisiana,2003-02-07,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2004,City,WI,Wisconsin,2004-09-20,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Convenience Store,Anti-Asian,Other,M,M
2006,County,ME,Maine,2006-01-26,0,0,1,1,0,White,White,2,Simple Assault,2.0,Street,Anti-Other Bias,Other,M,M
2003,City,KS,Kansas,2003-10-11,0,0,1,0,0,Unknown,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Apartment Building,Anti-Jewish,Other,M,M
2008,City,VT,Vermont,2008-11-29,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Office Building,Anti-Gay,Lesbian, Gay, Bisexual, or Transgender,B,M
2003,Municipality,GA,Georgia,2003-06-04,0,0,1,0,0,Unknown,Unknown,1,Intimidation,1.0,University Campus,Anti-Arab or Middle Eastern,Other,M,M
2006,County,WY,Wyoming,2006-06-29,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Simple Assault,1.0,Restaurant,Anti-White,Other,M,S
2005,County,MT,Montana,2005-12-18,0,0,1,0,0,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-Other Bias,Other,M,M
2008,Municipality,IL,Illinois,2008-08-26,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2002,City,NC,North Carolina,2002-05-03,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Convenience Store,Anti-Asian,Other,M,M
2007,City,NE,Nebraska,2007-08-25,0,0,1,0,0,Unknown,Unknown,1,Intimidation,1.0,Street,Anti-Other Bias,Other,M,M
2005,County,RI,Rhode Island,2005-01-19,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Restaurant,Anti-White,Other,M,S
2002,City,OK,Ohio,2002-02-08,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2008,City,KS,Kansas,2008-07-31,1,0,1,1,0,White,White,2,Intimidation,2.0,University Campus,Anti-Arab or Middle Eastern,Other,M,M
2005,County,CO,Colorado,2005-05-24,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Office Building,Anti-Gay,Lesbian, Gay, Bisexual, or Transgender,B,M
2009,City,MI,Michigan,2009-12-16,0,0,1,0,0,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-Other Bias,Other,M,M
2007,City,WI,Wisconsin,2007-04-20,0,0,1,0,1,Unknown,Unknown,1,Aggravated Assault,1.0,Residence,Anti-White,Other,M,M
2002,City,GA,Georgia,2002-06-27,0,0,1,0,0,Hispanic or Latino,Hispanic or Latino,1,Hate Crime Against a Business,1.0,Convenience Store,Anti-Asian,Other,M,M
2008,County,SC,South Carolina,2008-06-01,1,0,1,1,0,White,White,2,Intimidation,2.0,Street,Anti-Black or African American,Other,M,M
