2004,City,NJ,New Jersey,2004-05-13,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other,S,S
2013,City,ND,North Dakota,2013-07-25,0,1,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2007,City,NC,North Carolina,2007-04-26,1,0,1,1,0,Black or African American,Black or African American,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-White,Adult,White,S,S
1999,City,IA,Iowa,1999-10-03,1,0,1,1,0,White,White,2,Vandalism,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
2006,City,OK,Ohio,2006-05-06,1,0,1,1,0,Black or African American,Black or African American,2,Simple Assault,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Asian,S,S
2004,City,DE,Delaware,2004-02-05,0,1,1,1,0,Unknown,Unknown,2,Civil Rights,2.0,Residential Area,Anti-Asian,Adult,White,S,S
2000,City,UT,Utah,2000-08-31,1,0,1,1,0,White,White,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Other,S,S
2009,City,VT,Vermont,2009-09-05,1,0,1,1,0,Black or African American,Black or African American,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
1996,City,VT,Vermont,1996-01-18,1,0,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-White,Adult,Other,S,S
2014,City,MT,Montana,2014-01-22,0,1,1,1,0,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
2001,City,MI,Michigan,2001-12-02,1,0,1,1,0,Black or African American,Black or African American,2,Vandalism,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
1997,City,ME,Maine,1997-10-10,1,0,1,1,0,White,White,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Gay/Lesbian,Adult,Other,S,S
2005,City,MD,Maryland,2005-11-18,1,0,1,1,0,Asian,Asian,2,Simple Assault,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2008,City,RI,Rhode Island,2008-12-15,0,1,1,1,0,Unknown,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
2010,City,MS,Mississippi,2010-08-17,1,0,1,1,0,Black or African American,Black or African American,2,Civil Rights,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
2006,City,WI,Wisconsin,2006-12-23,1,0,1,1,0,White,White,2,Simple Assault,2.0,Residential Area,Anti-White,Adult,Asian,S,S
2009,City,NH,New Hampshire,2009-09-16,1,0,1,1,0,Unknown,Unknown,2,Hate Crime Against Individuals,2.0,Residential Area,Anti-Gay/Lesbian,Adult,White,S,S
1994,City,OR,Oregon,1994-08-13,0,1,1,1,0,Unknown,Unknown,2,Simple Assault,2.0,Residential Area,Anti-Asian,Adult,Asian,S,S
2004,City,ND,North Dakota,2004-08-25,1,0,1,1,0,Black or African American,Black or African American,2,Civil Rights,2.0,Residential Area,Anti-Asian,Adult,Other,S,S
