"activity_year","derived_msa-md","state_code","county_code","census_tract","derived_loan_product_type","derived_dwelling_category","derived_ethnicity","derived_race","derived_sex","action_taken","loan_purpose","loan_amount","loan_to_value_ratio","interest_rate","rate_spread","hoepa_status","total_loan_costs","total_points_and_fees","origination_charges","discount_points","lender_credits","loan_term","prepayment_penalty_term","intro_rate_period","negative_amortization","interest_only_payment","balloon_payment","other_nonamortizing_features","property_value","construction_method","occupancy_type","manufactured_home_secured_property_type","manufactured_home_land_property_interest","total_units","multifamily_affordable_units","income","debt_to_income_ratio","applicant_credit_score_type","co-applicant_credit_score_type","applicant_ethnicity-1","co-applicant_ethnicity-1","applicant_ethnicity_observed","co-applicant_ethnicity_observed","applicant_race-1","co-applicant_race-1","applicant_race_observed","co-applicant_race_observed","applicant_sex","co-applicant_sex","applicant_sex_observed","co-applicant_sex_observed","applicant_age","co-applicant_age","applicant_age_above_62","co-applicant_age_above_62","submission_of_application","initially_payable_to_institution"
"2024","Phoenix-Mesa-Scottsdale, AZ","AZ","33739.0","33739404100.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","San Francisco-Oakland-Berkeley, CA","CA","5954.0","59540551100.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Boston-Cambridge-Nashua, MA-NH","MA","2959.0","29591360500.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Denver-Aurora-Lakewood, CO","CO","10383.0","10383241600.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Seattle-Tacoma-Bellevue, WA","WA","3908.0","39080342100.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Minneapolis-St Paul-Bloomington, MN-WI","MN","6780.0","67800381100.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","St Louis, MO-IL","MO","8685.0","86851113300.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Riverside-San Bernardino-Ontario, CA","CA","5041.0","50411514500.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Baltimore-Columbia-Towson, MD","MD","21249.0","21249080900.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Cleveland-Elyria, OH","OH","53150.0","53150211000.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Portland-Vancouver-Hillsboro, OR-WA","OR","6381.0","63819231900.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Kansas City, MO-KS","MO","8784.0","87841211000.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Oakland-Hayward-Berkeley, CA","CA","6725.0","67250950100.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","St Paul-Minneapolis, MN-WI","MN","9088.0","90881330500.0","FHA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Indianapolis-Carmel-Anderson, IN","IN","14919.0","14919405100.0","Conventional:Subordinate Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Female","File closed for incompleteness","32","25000.0","","","3","","","240","","","2","2","2","2","","","1","1","3","5","1","","","96.0","","","1111","1111","2.0","5.0","2","4","5.0","8.0","2","4","1","5","2","4","65-74","9999","Yes","","1","1"
"2024","Charlotte-Concord-Gastonia, NC-SC","NC","2825.0","28251320900.0","VA:First Lien","Single Family (1-4 Units):Site-Built","Not Hispanic or Latino","White","Male","Application denied","32","355000.0","","","3","","","","","","2","2","2","2","","","1","1","3","5","1","","","108.0","","","3","10","3.0","5.0","2","4","6.0","8.0","2","4","3","5","2","4","65-74","9999","Yes","","1","1"
