"","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"14","2004","County Police","SC","South Carolina","2004-11-25","1","0","1","1","0","Black","Non-Hispanic","1","Anti-Disability Hate Crime","1","Columbia","Disability","Male","No","No"
"15","2005","City Police","KY","Kentucky","2005-08-09","0","1","1","1","0","Hispanic","Yes","1","Anti-Religious Hate Crime","1","Lexington","Religion","Female","No","No"
"16","2006","Sheriffs Department","WI","Wisconsin","2006-04-18","2","0","2","2","0","White","Non-Hispanic","2","Anti-Sexual Orientation Hate Crime","2","Madison","Sexual Orientation","Male","Yes","Yes"
"17","2007","State Police","AR","Arkansas","2007-09-03","1","0","1","1","0","Black","Non-Hispanic","1","Anti-Racial Hate Crime","1","Little Rock","Race","Male","No","No"
"18","2008","County Police","LA","Louisiana","2008-03-25","0","1","2","1","1","Hispanic","Yes","1","Anti-Disability Hate Crime","1","New Orleans","Disability","Female","Yes","Yes"
"19","2009","City Police","IN","Indiana","2009-01-10","2","0","2","2","0","White","Non-Hispanic","2","Anti-Religious Hate Crime","2","Indianapolis","Religion","Male","Yes","Yes"
"20","2010","Sheriffs Department","MS","Mississippi","2010-06-05","1","0","1","1","0","Black","Non-Hispanic","1","Anti-Sexual Orientation Hate Crime","1","Jackson","Sexual Orientation","Male","No","No"
"21","2011","State Police","IA","Iowa","2011-10-17","0","1","1","1","0","Hispanic","Yes","1","Anti-Racial Hate Crime","1","Des Moines","Race","Female","No","No"
"22","2012","County Police","VT","Vermont","2012-04-22","2","0","2","2","0","White","Non-Hispanic","2","Anti-Disability Hate Crime","2","Montpelier","Disability","Male","Yes","Yes"
"23","2013","City Police","WV","West Virginia","2013-09-20","1","0","1","1","0","Black","Non-Hispanic","1","Anti-Religious Hate Crime","1","Charleston","Religion","Male","No","No"
"24","2014","Sheriffs Department","NV","Nevada","2014-02-14","0","1","2","1","1","Hispanic","Yes","1","Anti-Sexual Orientation Hate Crime","1","Las Vegas","Sexual Orientation","Female","Yes","Yes"
"25","1992","County Police","OK","Oklahoma","1992-04-18","2","0","3","2","1","White","Non-Hispanic","2","Anti-Racial Hate Crime","2","Oklahoma City","Race","Male","Yes","Yes"
"26","1995","City Police","DE","Delaware","1995-08-09","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Disability Hate Crime","1","Wilmington","Disability","Female","No","No"
"27","1996","Sheriffs Department","MO","Missouri","1996-03-25","1","0","1","1","0","Hispanic","Yes","1","Anti-Religious Hate Crime","1","Kansas City","Religion","Male","No","No"
"28","1997","State Police","AZ","Arizona","1997-01-10","2","0","2","2","0","White","Non-Hispanic","2","Anti-Sexual Orientation Hate Crime","2","Phoenix","Sexual Orientation","Male","Yes","Yes"
"29","1998","County Police","CT","Connecticut","1998-06-05","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Racial Hate Crime","1","Hartford","Race","Female","No","No"
"30","1999","City Police","OR","Oregon","1999-10-17","1","0","1","1","0","Hispanic","Yes","1","Anti-Disability Hate Crime","1","Portland","Disability","Male","No","No"
"31","2000","Sheriffs Department","UT","Utah","2000-04-22","2","0","2","2","0","White","Non-Hispanic","2","Anti-Religious Hate Crime","2","Salt Lake City","Religion","Male","Yes","Yes"
"32","2001","State Police","ME","Maine","2001-09-20","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Sexual Orientation Hate Crime","1","Augusta","Sexual Orientation","Female","No","No"
"33","2002","County Police","NE","Nebraska","2002-02-14","1","0","1","1","0","Hispanic","Yes","1","Anti-Racial Hate Crime","1","Omaha","Race","Male","No","No"
"34","2003","City Police","HI","Hawaii","2003-05-18","2","0","2","2","0","White","Non-Hispanic","2","Anti-Disability Hate Crime","2","Honolulu","Disability","Male","Yes","Yes"
"35","2004","Sheriffs Department","AK","Alaska","2004-11-25","0","1","2","1","1","Black","Non-Hispanic","1","Anti-Religious Hate Crime","1","Anchorage","Religion","Female","Yes","Yes"
"36","2005","State Police","ID","Idaho","2005-08-09","1","0","1","1","0","Hispanic","Yes","1","Anti-Sexual Orientation Hate Crime","1","Boise","Sexual Orientation","Male","No","No"
"37","2006","County Police","ND","North Dakota","2006-04-18","2","0","2","2","0","White","Non-Hispanic","2","Anti-Racial Hate Crime","2","Bismarck","Race","Male","Yes","Yes"
"38","2007","City Police","MN","Minnesota","2007-09-03","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Disability Hate Crime","1","St. Paul","Disability","Female","No","No"
"39","2008","Sheriffs Department","RI","Rhode Island","2008-03-25","1","0","1","1","0","Hispanic","Yes","1","Anti-Religious Hate Crime","1","Providence","Religion","Male","No","No"
"40","2009","State Police","SD","South Dakota","2009-01-10","2","0","2","2","0","White","Non-Hispanic","2","Anti-Sexual Orientation Hate Crime","2","Pierre","Sexual Orientation","Male","Yes","Yes"
"41","2010","County Police","MT","Montana","2010-06-05","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Racial Hate Crime","1","Helena","Race","Female","No","No"
"42","2011","City Police","WY","Wyoming","2011-10-17","1","0","1","1","0","Hispanic","Yes","1","Anti-Disability Hate Crime","1","Cheyenne","Disability","Male","No","No"
"43","2012","Sheriffs Department","VT","Vermont","2012-04-22","2","0","2","2","0","White","Non-Hispanic","2","Anti-Religious Hate Crime","2","Montpelier","Religion","Male","Yes","Yes"
"44","2013","State Police","NH","New Hampshire","2013-09-20","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Sexual Orientation Hate Crime","1","Concord","Sexual Orientation","Female","No","No"
"45","2014","County Police","AL","Alabama","2014-02-14","1","0","1","1","0","Hispanic","Yes","1","Anti-Racial Hate Crime","1","Montgomery","Race","Male","No","No"
"46","1992","City Police","CO","Colorado","1992-04-18","2","0","3","2","1","White","Non-Hispanic","2","Anti-Disability Hate Crime","2","Denver","Disability","Male","Yes","Yes"
"47","1995","Sheriffs Department","GA","Georgia","1995-08-09","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Religious Hate Crime","1","Atlanta","Religion","Female","No","No"
"48","1996","State Police","AZ","Arizona","1996-03-25","1","0","1","1","0","Hispanic","Yes","1","Anti-Sexual Orientation Hate Crime","1","Phoenix","Sexual Orientation","Male","No","No"
"49","1997","County Police","NV","Nevada","1997-01-10","2","0","2","2","0","White","Non-Hispanic","2","Anti-Racial Hate Crime","2","Las Vegas","Race","Male","Yes","Yes"
"50","1998","City Police","HI","Hawaii","1998-06-05","0","1","1","1","0","Black","Non-Hispanic","1","Anti-Disability Hate Crime","1","Honolulu","Disability","Female","No","No"
