"","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"11","2012","State, Local","TX","Texas","8/25/2012",0,2,1,0,1,"Black or African American","Not Hispanic or Latino","2","Vandalism","2","Public Place","Islamophobia","Multiple Victims","TRUE","Single Offense","FALSE"
"12","2013","Federal","FL","Florida","2/12/2013",1,0,1,1,0,"Asian","Asian, Not Hispanic or Latino","1","Simple Assault","1","Street","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"13","1997","State, Local","CA","California","3/25/1997",1,0,1,1,0,"Hispanic or Latino","Not Hispanic or Latino","1","Vandalism","1","School","Anti-Immigrant","Individual, Single Victim","FALSE","Single Offense","FALSE"
"14","2000","Federal","NY","New York","8/17/2000",0,1,1,0,1,"White","Not Hispanic or Latino","1","Simple Assault","1","Public Transportation","Homophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"15","1996","State, Local","TX","Texas","12/10/1996",0,1,1,0,1,"Black or African American","Not Hispanic or Latino","1","Intimidation","1","Public Place","Anti-Black","Individual, Single Victim","FALSE","Single Offense","FALSE"
"16","2001","Federal","FL","Florida","11/20/2001",0,2,1,0,1,"Asian","Not Hispanic or Latino","2","Vandalism","2","Street","Anti-Asian","Multiple Victims","TRUE","Single Offense","FALSE"
"17","1998","State, Local","CA","California","7/4/1998",1,0,1,1,0,"Hispanic or Latino","Not Hispanic or Latino","1","Simple Assault","1","School","Anti-LGBT","Individual, Single Victim","FALSE","Single Offense","FALSE"
"18","2004","Federal","NY","New York","1/15/2004",2,0,1,2,0,"White","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Antisemitism","Multiple Victims","TRUE","Multiple Offenses","TRUE"
"19","1999","State, Local","TX","Texas","9/19/1999",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"20","2003","State, Local","CA","California","11/7/2003",0,2,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","2","Simple Assault","2","Street","Anti-Immigrant","Multiple Victims","TRUE","Single Offense","FALSE"
"21","2002","Federal","NY","New York","6/22/2002",1,0,1,1,0,"Hispanic or Latino","Not Hispanic or Latino","1","Vandalism","1","School","Anti-LGBT","Individual, Single Victim","FALSE","Single Offense","FALSE"
"22","2005","State, Local","TX","Texas","1/28/2005",0,1,1,0,1,"Black or African American","Not Hispanic or Latino","1","Intimidation","1","Public Place","Islamophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"23","2000","Federal","FL","Florida","9/15/2000",2,0,1,2,0,"Asian","Asian, Not Hispanic or Latino","2","Simple Assault","2","Business","Anti-Asian","Multiple Victims","TRUE","Single Offense","FALSE"
"24","1995","State, Local","CA","California","5/16/1995",1,0,1,1,0,"White","Not Hispanic or Latino","1","Vandalism","1","School","Anti-Catholic","Individual, Single Victim","FALSE","Single Offense","FALSE"
"25","2006","Federal","NY","New York","3/18/2006",0,1,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","1","Simple Assault","1","Public Transportation","Homophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"26","2007","State, Local","TX","Texas","7/20/2007",0,2,1,0,1,"Black or African American","Not Hispanic or Latino","2","Intimidation","2","Street","Anti-Black","Multiple Victims","TRUE","Single Offense","FALSE"
"27","2008","Federal","FL","Florida","11/19/2008",1,0,1,1,0,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"28","2009","State, Local","CA","California","6/11/2009",0,1,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","1","Simple Assault","1","School","Anti-LGBT","Individual, Single Victim","FALSE","Single Offense","FALSE"
"29","2010","Federal","NY","New York","9/10/2010",2,0,1,2,0,"White","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Antisemitism","Multiple Victims","TRUE","Multiple Offenses","TRUE"
"30","2011","State, Local","TX","Texas","2/12/2011",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"31","2012","Federal","FL","Florida","5/25/2012",1,0,1,1,0,"Hispanic or Latino","Not Hispanic or Latino","1","Simple Assault","1","School","Anti-Immigrant","Individual, Single Victim","FALSE","Single Offense","FALSE"
"32","1994","State, Local","CA","California","11/1/1994",0,2,1,0,1,"Black or African American","Not Hispanic or Latino","2","Intimidation","2","Street","Anti-Black","Multiple Victims","TRUE","Single Offense","FALSE"
"33","1993","Federal","NY","New York","10/22/1993",1,0,1,1,0,"White","Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Catholic","Individual, Single Victim","FALSE","Single Offense","FALSE"
"34","2001","State, Local","TX","Texas","4/16/2001",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Simple Assault","1","School","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"35","1995","Federal","FL","Florida","6/20/1995",0,2,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","2","Intimidation","2","Public Place","Anti-Immigrant","Multiple Victims","TRUE","Single Offense","FALSE"
"36","2009","State, Local","CA","California","10/29/2009",1,0,1,1,0,"Black or African American","Not Hispanic or Latino","1","Vandalism","1","School","Islamophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"37","2008","Federal","NY","New York","8/15/2008",2,0,1,2,0,"Asian","Not Hispanic or Latino","2","Simple Assault","2","Business","Anti-Asian","Multiple Victims","TRUE","Single Offense","FALSE"
"38","2010","State, Local","TX","Texas","11/16/2010",0,1,1,0,1,"White","Not Hispanic or Latino","1","Intimidation","1","Public Place","Anti-Catholic","Individual, Single Victim","FALSE","Single Offense","FALSE"
"39","2011","Federal","FL","Florida","3/21/2011",0,2,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","2","Vandalism","2","Public Place","Anti-Immigrant","Multiple Victims","TRUE","Single Offense","FALSE"
"40","2012","State, Local","CA","California","9/18/2012",1,0,1,1,0,"Black or African American","Not Hispanic or Latino","1","Simple Assault","1","School","Anti-Black","Individual, Single Victim","FALSE","Single Offense","FALSE"
"41","1992","State, Local","TX","Texas","8/14/1992",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"42","2002","Federal","NY","New York","9/14/2002",2,0,1,2,0,"Hispanic or Latino","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-LGBT","Multiple Victims","TRUE","Multiple Offenses","TRUE"
"43","2003","State, Local","CA","California","6/29/2003",0,1,1,0,1,"Black or African American","Not Hispanic or Latino","1","Simple Assault","1","Public Place","Islamophobia","Individual, Single Victim","FALSE","Single Offense","FALSE"
"44","2004","Federal","FL","Florida","1/22/2004",1,0,1,1,0,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","School","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"45","2005","State, Local","TX","Texas","10/29/2005",0,2,1,0,1,"White","Not Hispanic or Latino","2","Intimidation","2","Public Place","Anti-Catholic","Multiple Victims","TRUE","Single Offense","FALSE"
"46","2006","Federal","NY","New York","12/19/2006",2,0,1,2,0,"Hispanic or Latino","Not Hispanic or Latino","2","Simple Assault","2","Business","Anti-Immigrant","Multiple Victims","TRUE","Single Offense","FALSE"
"47","2007","State, Local","CA","California","4/27/2007",0,1,1,0,1,"Asian","Asian, Not Hispanic or Latino","1","Vandalism","1","Public Place","Anti-Asian","Individual, Single Victim","FALSE","Single Offense","FALSE"
"48","2008","Federal","FL","Florida","6/12/2008",1,0,1,1,0,"Black or African American","Not Hispanic or Latino","1","Simple Assault","1","School","Anti-Black","Individual, Single Victim","FALSE","Single Offense","FALSE"
"49","2009","State, Local","TX","Texas","9/11/2009",0,2,1,0,1,"Hispanic or Latino","Not Hispanic or Latino","2","Intimidation","2","Public Transportation","Anti-LGBT","Multiple Victims","TRUE","Single Offense","FALSE"
"50","2010","Federal","NY","New York","11/22/2010",2,0,1,2,0,"White","Not Hispanic or Latino","2","Simple Assault","2","Public Place","Antisemitism","Multiple Victims","TRUE","Multiple Offenses","TRUE"
