"1993","Federal", "FL", "Florida", "1993-08-10", 0, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1994","Local", "CA", "California", "1994-01-01", 3, 0, 2, 2, 0, "Asian", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1994","State", "IL", "Illinois", "1994-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1994","Federal", "NY", "New York", "1994-05-25", 0, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1995","Local", "FL", "Florida", "1995-01-10", 1, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1995","State", "TX", "Texas", "1995-03-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1995","Federal", "CA", "California", "1995-07-15", 0, 0, 1, 1, 0, "Asian", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1996","Local", "NY", "New York", "1996-01-25", 3, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1996","State", "IL", "Illinois", "1996-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1996","Federal", "FL", "Florida", "1996-04-01", 0, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1997","Local", "CA", "California", "1997-01-01", 1, 0, 1, 1, 0, "Asian", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1997","State", "TX", "Texas", "1997-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1997","Federal", "NY", "New York", "1997-05-10", 0, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1998","Local", "FL", "Florida", "1998-01-15", 3, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1998","State", "IL", "Illinois", "1998-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1998","Federal", "CA", "California", "1998-04-20", 0, 0, 2, 2, 0, "Asian", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1999","Local", "NY", "New York", "1999-01-10", 1, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1999","State", "TX", "Texas", "1999-02-25", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1999","Federal", "FL", "Florida", "1999-05-01", 0, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2000","Local", "CA", "California", "2000-01-01", 3, 0, 2, 2, 0, "Asian", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2000","State", "IL", "Illinois", "2000-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2000","Federal", "NY", "New York", "2000-04-15", 0, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2001","Local", "FL", "Florida", "2001-01-25", 1, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2001","State", "TX", "Texas", "2001-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2001","Federal", "CA", "California", "2001-05-01", 0, 0, 1, 1, 0, "Asian", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2002","Local", "NY", "New York", "2002-01-10", 3, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2002","State", "IL", "Illinois", "2002-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2002","Federal", "FL", "Florida", "2002-04-20", 0, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2003","Local", "CA", "California", "2003-01-01", 1, 0, 1, 1, 0, "Asian", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2003","State", "TX", "Texas", "2003-02-25", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2003","Federal", "NY", "New York", "2003-05-10", 0, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2004","Local", "FL", "Florida", "2004-01-15", 3, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2004","State", "IL", "Illinois", "2004-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2004","Federal", "CA", "California", "2004-04-20", 0, 0, 2, 2, 0, "Asian", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2005","Local", "NY", "New York", "2005-01-10", 1, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2005","State", "TX", "Texas", "2005-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2005","Federal", "FL", "Florida", "2005-05-01", 0, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2006","Local", "CA", "California", "2006-01-01", 3, 0, 2, 2, 0, "Asian", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2006","State", "IL", "Illinois", "2006-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2006","Federal", "NY", "New York", "2006-04-15", 0, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2007","Local", "FL", "Florida", "2007-01-25", 1, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2007","State", "TX", "Texas", "2007-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2007","Federal", "CA", "California", "2007-05-01", 0, 0, 1, 1, 0, "Asian", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2008","Local", "NY", "New York", "2008-01-10", 3, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2008","State", "IL", "Illinois", "2008-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2008","Federal", "FL", "Florida", "2008-04-20", 0, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2009","Local", "CA", "California", "2009-01-01", 1, 0, 1, 1, 0, "Asian", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2009","State", "TX", "Texas", "2009-02-25", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2009","Federal", "NY", "New York", "2009-05-10", 0, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2010","Local", "FL", "Florida", "2010-01-15", 3, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2010","State", "IL", "Illinois", "2010-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2010","Federal", "CA", "California", "2010-04-20", 0, 0, 2, 2, 0, "Asian", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2011","Local", "NY", "New York", "2011-01-10", 1, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2011","State", "TX", "Texas", "2011-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2011","Federal", "FL", "Florida", "2011-05-01", 0, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2012","Local", "CA", "California", "2012-01-01", 3, 0, 2, 2, 0, "Asian", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2012","State", "IL", "Illinois", "2012-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"2012","Federal", "NY", "New York", "2012-04-15", 0, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2013","Local", "FL", "Florida", "2013-01-25", 1, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"2013","State", "TX", "Texas", "2013-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"2013","Federal", "CA", "California", "2013-05-01", 0, 0, 1, 1, 0, "Asian", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"2014","Local", "NY", "New York", "2014-01-10", 3, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"Year","Agency Type Name","State Abbr","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1991","State/Local","CA","California","1991-01-01 00:00:00","1","0","2","1","1","Asian American","Hispanic","2","Simple Assault","2","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1991","Local","NY","New York","1991-02-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1991","Federal","TX","Texas","1991-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","School","Religion","Adult","FALSE","FALSE"
"1991","State/Local","IL","Illinois","1991-04-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Disability","Juvenile","FALSE","FALSE"
"1991","Federal","GA","Georgia","1991-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Adult","FALSE","FALSE"
"1991","State/Local","AZ","Arizona","1991-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Commercial Building","Sexual Orientation","Juvenile","FALSE","FALSE"
"1991","Local","NC","North Carolina","1991-07-01 00:00:00","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Residence","Disability","Adult","FALSE","FALSE"
"1991","Federal","OH","Ohio","1991-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Religion","Juvenile","FALSE","FALSE"
"1991","State/Local","MI","Michigan","1991-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1991","Local","CO","Colorado","1991-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1991","Federal","VA","Virginia","1991-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1991","State/Local","TN","Tennessee","1991-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1992","State/Local","CA","California","1992-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1992","Local","NY","New York","1992-02-01 00:00:00","0","1","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1992","Federal","TX","Texas","1992-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Simple Assault","1","School","Religion","Adult","FALSE","FALSE"
"1992","State/Local","IL","Illinois","1992-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Disability","Juvenile","FALSE","FALSE"
"1992","Federal","GA","Georgia","1992-05-01 00:00:00","1","0","2","1","1","American Indian/Alaska Native","Non-Hispanic","2","Vandalism","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1992","State/Local","AZ","Arizona","1992-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1992","Local","NC","North Carolina","1992-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1992","Federal","OH","Ohio","1992-08-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","National Origin","Juvenile","FALSE","FALSE"
"1992","State/Local","MI","Michigan","1992-09-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Commercial Building","Religion","Adult","FALSE","FALSE"
"1992","Local","CO","Colorado","1992-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1992","Federal","VA","Virginia","1992-11-01 00:00:00","1","0","2","1","1","White","Non-Hispanic","2","Vandalism","2","Commercial Building","Disability","Adult","FALSE","FALSE"
"1992","State/Local","TN","Tennessee","1992-12-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1993","State/Local","CA","California","1993-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Sexual Orientation","Adult","FALSE","FALSE"
"1993","Local","NY","New York","1993-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1993","Federal","TX","Texas","1993-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1993","State/Local","IL","Illinois","1993-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1993","Federal","GA","Georgia","1993-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1993","State/Local","AZ","Arizona","1993-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1993","Local","NC","North Carolina","1993-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","School","National Origin","Adult","FALSE","FALSE"
"1993","Federal","OH","Ohio","1993-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Vandalism","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1993","State/Local","MI","Michigan","1993-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1993","Local","CO","Colorado","1993-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1993","Federal","VA","Virginia","1993-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1993","State/Local","TN","Tennessee","1993-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1994","State/Local","CA","California","1994-01-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1994","Local","NY","New York","1994-02-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1994","Federal","TX","Texas","1994-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","School","Religion","Adult","FALSE","FALSE"
"1994","State/Local","IL","Illinois","1994-04-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Vandalism","2","Residence","National Origin","Juvenile","FALSE","FALSE"
"1994","Federal","GA","Georgia","1994-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Simple Assault","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1994","State/Local","AZ","Arizona","1994-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1994","Local","NC","North Carolina","1994-07-01 00:00:00","1","0","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1994","Federal","OH","Ohio","1994-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Vandalism","1","Residence","Disability","Juvenile","FALSE","FALSE"
"1994","State/Local","MI","Michigan","1994-09-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Religion","Adult","FALSE","FALSE"
"1994","Local","CO","Colorado","1994-10-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1994","Federal","VA","Virginia","1994-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1994","State/Local","TN","Tennessee","1994-12-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1995","State/Local","CA","California","1995-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Sexual Orientation","Adult","FALSE","FALSE"
"1995","Local","NY","New York","1995-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1995","Federal","TX","Texas","1995-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1995","State/Local","IL","Illinois","1995-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1995","Federal","GA","Georgia","1995-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Residence","Disability","Adult","FALSE","FALSE"
"1995","State/Local","AZ","Arizona","1995-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","School","Sexual Orientation","Juvenile","FALSE","FALSE"
"1995","Local","NC","North Carolina","1995-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Residence","National Origin","Adult","FALSE","FALSE"
"1995","Federal","OH","Ohio","1995-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1995","State/Local","MI","Michigan","1995-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1995","Local","CO","Colorado","1995-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Simple Assault","1","School","Sexual Orientation","Juvenile","FALSE","FALSE"
"1995","Federal","VA","Virginia","1995-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Disability","Adult","FALSE","FALSE"
"1995","State/Local","TN","Tennessee","1995-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Vandalism","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1996","State/Local","CA","California","1996-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1996","Local","NY","New York","1996-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1996","Federal","TX","Texas","1996-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1996","State/Local","IL","Illinois","1996-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","National Origin","Juvenile","FALSE","FALSE"
"1996","Federal","GA","Georgia","1996-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1996","State/Local","AZ","Arizona","1996-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1996","Local","NC","North Carolina","1996-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Residence","National Origin","Adult","FALSE","FALSE"
"1996","Federal","OH","Ohio","1996-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
1991,"Federal Bureau of Investigation","NY","New York","1991-03-04","1","0","2","1","1","White","Hispanic","2","Anti-Religious","2","Brooklyn, NY","Anti-White, Anti-Hispanic","Adult","Yes","Yes"
1992,"State Police","CA","California","1992-02-27","0","1","1","1","0","Asian","Non-Hispanic","1","Anti-Religious","1","Los Angeles, CA","Anti-Asian","Juvenile","No","No"
