"Year","Agency Type Name","State Abbr","State Name","Incident Date","Adult Victim Count","Juvenile Victim Count","Total Offender Count","Adult Offender Count","Juvenile Offender Count","Offender Race","Offender Ethnicity","Victim Count","Offense Name","Total Individual Victims","Location Name","Bias Desc","Victim Types","Multiple Offense","Multiple Bias"
"1991","Federal","VA","Virginia","1991-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1991","State/Local","TN","Tennessee","1991-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1992","State/Local","CA","California","1992-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1992","Local","NY","New York","1992-02-01 00:00:00","0","1","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1992","Federal","TX","Texas","1992-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Simple Assault","1","School","Religion","Adult","FALSE","FALSE"
"1992","State/Local","IL","Illinois","1992-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Disability","Juvenile","FALSE","FALSE"
"1992","Federal","GA","Georgia","1992-05-01 00:00:00","1","0","2","1","1","American Indian/Alaska Native","Non-Hispanic","2","Vandalism","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1992","State/Local","AZ","Arizona","1992-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1992","Local","NC","North Carolina","1992-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1992","Federal","OH","Ohio","1992-08-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","National Origin","Juvenile","FALSE","FALSE"
"1992","State/Local","MI","Michigan","1992-09-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Commercial Building","Religion","Adult","FALSE","FALSE"
"1992","Local","CO","Colorado","1992-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1992","Federal","VA","Virginia","1992-11-01 00:00:00","1","0","2","1","1","White","Non-Hispanic","2","Vandalism","2","Commercial Building","Disability","Adult","FALSE","FALSE"
"1992","State/Local","TN","Tennessee","1992-12-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1993","State/Local","CA","California","1993-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Sexual Orientation","Adult","FALSE","FALSE"
"1993","Local","NY","New York","1993-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1993","Federal","TX","Texas","1993-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1993","State/Local","IL","Illinois","1993-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1993","Federal","GA","Georgia","1993-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1993","State/Local","AZ","Arizona","1993-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1993","Local","NC","North Carolina","1993-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","School","National Origin","Adult","FALSE","FALSE"
"1993","Federal","OH","Ohio","1993-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Vandalism","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1993","State/Local","MI","Michigan","1993-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1993","Local","CO","Colorado","1993-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1993","Federal","VA","Virginia","1993-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","Disability","Adult","FALSE","FALSE"
"1993","State/Local","TN","Tennessee","1993-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1994","State/Local","CA","California","1994-01-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1994","Local","NY","New York","1994-02-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1994","Federal","TX","Texas","1994-03-01 00:00:00","1","0","1","1","0","Hispanic","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","School","Religion","Adult","FALSE","FALSE"
"1994","State/Local","IL","Illinois","1994-04-01 00:00:00","0","1","2","0","2","White","Non-Hispanic","2","Vandalism","2","Residence","National Origin","Juvenile","FALSE","FALSE"
"1994","Federal","GA","Georgia","1994-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Simple Assault","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1994","State/Local","AZ","Arizona","1994-06-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1994","Local","NC","North Carolina","1994-07-01 00:00:00","1","0","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","National Origin","Adult","FALSE","FALSE"
"1994","Federal","OH","Ohio","1994-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Vandalism","1","Residence","Disability","Juvenile","FALSE","FALSE"
"1994","State/Local","MI","Michigan","1994-09-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Religion","Adult","FALSE","FALSE"
"1994","Local","CO","Colorado","1994-10-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1994","Federal","VA","Virginia","1994-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1994","State/Local","TN","Tennessee","1994-12-01 00:00:00","0","1","1","1","0","Black","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","National Origin","Juvenile","FALSE","FALSE"
"1995","State/Local","CA","California","1995-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","School","Sexual Orientation","Adult","FALSE","FALSE"
"1995","Local","NY","New York","1995-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1995","Federal","TX","Texas","1995-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1995","State/Local","IL","Illinois","1995-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1995","Federal","GA","Georgia","1995-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Residence","Disability","Adult","FALSE","FALSE"
"1995","State/Local","AZ","Arizona","1995-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","School","Sexual Orientation","Juvenile","FALSE","FALSE"
"1995","Local","NC","North Carolina","1995-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Residence","National Origin","Adult","FALSE","FALSE"
"1995","Federal","OH","Ohio","1995-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1995","State/Local","MI","Michigan","1995-09-01 00:00:00","1","0","2","1","1","Asian American","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1995","Local","CO","Colorado","1995-10-01 00:00:00","0","1","1","1","0","Hispanic","Non-Hispanic","1","Simple Assault","1","School","Sexual Orientation","Juvenile","FALSE","FALSE"
"1995","Federal","VA","Virginia","1995-11-01 00:00:00","1","0","1","1","0","White","Non-Hispanic","1","Destruction/Damage/Vandalism of Property","1","Residence","Disability","Adult","FALSE","FALSE"
"1995","State/Local","TN","Tennessee","1995-12-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Vandalism","2","Commercial Building","National Origin","Juvenile","FALSE","FALSE"
"1996","State/Local","CA","California","1996-01-01 00:00:00","1","0","1","1","0","Asian American","Non-Hispanic","1","Intimidation","1","Residence","Sexual Orientation","Adult","FALSE","FALSE"
"1996","Local","NY","New York","1996-02-01 00:00:00","0","1","2","0","2","Black","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Commercial Building","Disability","Juvenile","FALSE","FALSE"
"1996","Federal","TX","Texas","1996-03-01 00:00:00","1","0","2","1","1","Hispanic","Non-Hispanic","2","Vandalism","2","Residence","Religion","Adult","FALSE","FALSE"
"1996","State/Local","IL","Illinois","1996-04-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Simple Assault","1","School","National Origin","Juvenile","FALSE","FALSE"
"1996","Federal","GA","Georgia","1996-05-01 00:00:00","1","0","1","1","0","American Indian/Alaska Native","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Adult","FALSE","FALSE"
"1996","State/Local","AZ","Arizona","1996-06-01 00:00:00","0","1","2","0","2","Hispanic","Non-Hispanic","2","Destruction/Damage/Vandalism of Property","2","Residence","Sexual Orientation","Juvenile","FALSE","FALSE"
"1996","Local","NC","North Carolina","1996-07-01 00:00:00","1","0","1","1","0","Black","Non-Hispanic","1","Vandalism","1","Residence","National Origin","Adult","FALSE","FALSE"
"1996","Federal","OH","Ohio","1996-08-01 00:00:00","0","1","1","1","0","White","Non-Hispanic","1","Intimidation","1","Commercial Building","Disability","Juvenile","FALSE","FALSE"
