EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
Network Rail Infrastructure Limited,42110,21.5,18.8,50.7,31.4,68.9,66.2,28.6,71.4,24.3,75.7,40.1,59.9,56.8,43.2,1000-4999,2024-10-22 13:45:19
NHS England,86101,16.4,13.2,36.7,20.1,59.7,57.2,35.3,64.7,29.8,70.2,42.6,57.4,54.8,45.2,1000-4999,2025-01-19 09:28:37
Sainsbury's Supermarkets Ltd,47110,26.8,24.2,64.3,41.7,71.5,73.8,23.2,76.8,19.9,80.1,33.1,66.9,49.6,50.4,10000+,2024-12-16 15:17:22
Cardiff University,85310,21.9,19.2,53.4,35.1,59.6,62.9,26.1,73.9,22.6,77.4,37.2,62.8,49.5,50.5,1000-4999,2025-03-22 16:03:44
Anglian Water Services Ltd,36000,19.8,17.1,45.9,27.3,68.2,65.6,32.5,67.5,28.3,71.7,43.8,56.2,60.1,39.9,1000-4999,2024-11-30 12:36:58
HSBC UK Bank PLC,64191,30.2,27.5,73.8,50.1,74.1,76.3,21.5,78.5,18.3,81.7,30.9,69.1,47.8,52.2,10000+,2025-01-12 10:14:29
Imperial College London,85310,20.6,18.1,48.7,30.5,58.9,61.2,27.4,72.6,23.8,76.2,38.5,61.5,48.7,51.3,1000-4999,2025-04-02 14:51:36
Durham County Council,84110,18.2,15.6,40.5,23.2,62.1,59.8,33.2,66.8,28.5,71.5,40.9,59.1,57.4,42.6,1000-4999,2024-12-22 15:38:47
Asda Stores Ltd,47110,27.5,24.9,66.2,43.1,72.8,75.2,22.6,77.4,19.3,80.7,31.8,68.2,48.9,51.1,10000+,2024-10-25 11:09:33
King's College London,85310,23.8,21.1,57.2,38.6,61.3,64.7,25.1,74.9,21.6,78.4,36.1,63.9,49.2,50.8,1000-4999,2025-03-08 13:27:18
Severn Trent Water Ltd,36000,20.1,17.5,46.3,28.1,67.5,64.9,31.2,68.8,26.9,73.1,42.4,57.6,59.7,40.3,1000-4999,2024-11-17 16:42:55
NatWest Group PLC,64191,31.1,28.4,74.5,51.8,74.8,77.3,21.1,78.9,17.8,82.2,30.2,69.8,47.3,52.7,10000+,2025-01-25 09:36:44
University of Edinburgh,85310,21.3,18.7,51.8,33.9,59.2,62.5,26.8,73.2,23.2,76.8,37.5,62.5,48.9,51.1,1000-4999,2025-04-05 12:18:29
Transport for London,49390,19.7,17.0,44.6,26.8,66.3,63.8,32.9,67.1,28.4,71.6,41.7,58.3,59.5,40.5,1000-4999,2024-12-12 14:29:37
Morrisons Supermarkets PLC,47110,26.1,23.5,62.7,40.2,70.9,73.1,23.8,76.2,20.4,79.6,34.1,65.9,50.6,49.4,10000+,2024-10-18 15:52:11
Queen Mary University of London,85310,22.5,19.8,54.6,36.2,60.5,63.8,25.4,74.6,21.9,78.1,35.8,64.2,49.7,50.3,1000-4999,2025-03-15 11:44:22
United Utilities Water Limited,36000,19.4,16.8,43.7,25.9,66.8,64.2,33.1,66.9,28.7,71.3,42.9,57.1,60.3,39.7,1000-4999,2024-11-25 10:31:58
Standard Chartered PLC,64191,33.2,30.5,78.1,56.4,76.2,79.1,19.8,80.2,16.5,83.5,28.7,71.3,45.9,54.1,10000+,2025-02-14 16:07:33
University of Glasgow,85310,21.7,19.0,52.9,34.5,59.8,62.7,26.3,73.7,22.8,77.2,36.9,63.1,49.1,50.9,1000-4999,2025-04-08 08:53:17
Virgin Media O2 UK Ltd,61100,24.3,21.6,59.1,37.4,69.2,70.8,24.6,75.4,21.2,78.8,33.9,66.1,52.4,47.6,1000-4999,2024-12-29 13:48:26
