"date","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"19","2010","County Police Department","LA","Louisiana","2010-07-19","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Baton Rouge","Anti-Black Bias","Adult","True","False"
"20","2011","Town Police Department","MS","Mississippi","2011-08-20","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Jackson","Anti-Hispanic Bias","Adult","False","False"
"21","2012","Village Police Department","AL","Alabama","2012-09-21","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Montgomery","Anti-White Bias","Adult","True","False"
"22","2013","Local Police Department","OK","Oklahoma","2013-10-22","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Oklahoma City","Anti-Asian Bias","Juvenile","False","False"
"23","2014","State Police","KY","Kentucky","2014-11-23","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Louisville","Anti-Black Bias","Adult","True","False"
"24","1992","Local Police Department","MI","Michigan","1992-01-01","1","0","1","1","0","Asian","Non-Hispanic","1","Larceny/Theft","1","Detroit","Anti-Asian Bias","Adult","True","False"
"25","1993","City Police Department","CA","California","1993-02-02","0","1","1","0","1","White","Non-Hispanic","1","Simple Assault","1","Los Angeles","Anti-White Bias","Juvenile","False","False"
"26","1994","County Police Department","TX","Texas","1994-03-03","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Houston","Anti-Black Bias","Adult","True","False"
"27","1995","Town Police Department","FL","Florida","1995-04-04","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Miami","Anti-Hispanic Bias","Adult","False","False"
"28","1996","Village Police Department","GA","Georgia","1996-05-05","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Atlanta","Anti-White Bias","Adult","True","False"
"29","1997","Sheriff's Department","IL","Illinois","1997-06-06","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Chicago","Anti-Asian Bias","Juvenile","False","False"
"30","1998","Local Police Department","NC","North Carolina","1998-07-07","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Raleigh","Anti-Black Bias","Adult","True","False"
"31","1999","City Police Department","OH","Ohio","1999-08-08","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Columbus","Anti-Hispanic Bias","Adult","False","False"
"32","2000","County Police Department","NJ","New Jersey","2000-09-09","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Newark","Anti-White Bias","Adult","True","False"
"33","2001","Town Police Department","MI","Michigan","2001-10-10","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Detroit","Anti-Asian Bias","Juvenile","False","False"
"34","2002","Village Police Department","SC","South Carolina","2002-11-11","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Columbia","Anti-Black Bias","Adult","True","False"
"35","2003","Local Police Department","TN","Tennessee","2003-12-12","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Nashville","Anti-Hispanic Bias","Adult","False","False"
"36","2004","City Police Department","IN","Indiana","2004-01-13","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Indianapolis","Anti-White Bias","Adult","True","False"
"37","2005","County Police Department","OR","Oregon","2005-02-14","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Portland","Anti-Asian Bias","Juvenile","False","False"
"38","2006","State Police","AZ","Arizona","2006-03-15","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Phoenix","Anti-Black Bias","Adult","True","False"
"39","2007","Federal Police","CT","Connecticut","2007-04-16","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Hartford","Anti-Hispanic Bias","Adult","False","False"
"40","2008","Sheriff's Department","WI","Wisconsin","2008-05-17","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Madison","Anti-White Bias","Adult","True","False"
"41","2009","City Police Department","VA","Virginia","2009-06-18","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Richmond","Anti-Asian Bias","Juvenile","False","False"
"42","2010","County Police Department","LA","Louisiana","2010-07-19","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Baton Rouge","Anti-Black Bias","Adult","True","False"
"43","2011","Town Police Department","MS","Mississippi","2011-08-20","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Jackson","Anti-Hispanic Bias","Adult","False","False"
"44","2012","Village Police Department","AL","Alabama","2012-09-21","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Montgomery","Anti-White Bias","Adult","True","False"
"45","2013","Local Police Department","OK","Oklahoma","2013-10-22","0","1","1","0","1","Asian","Non-Hispanic","1","Vandalism","1","Oklahoma City","Anti-Asian Bias","Juvenile","False","False"
"46","2014","State Police","KY","Kentucky","2014-11-23","1","0","2","1","1","Black","Non-Hispanic","2","Vandalism","2","Louisville","Anti-Black Bias","Adult","True","False"
"47","1992","City Police Department","CA","California","1992-01-01","0","1","1","0","1","White","Non-Hispanic","1","Simple Assault","1","Los Angeles","Anti-White Bias","Juvenile","False","False"
"48","1993","County Police Department","TX","Texas","1993-02-02","2","0","2","2","0","Black","Non-Hispanic","2","Simple Assault","2","Houston","Anti-Black Bias","Adult","True","False"
"49","1994","Town Police Department","FL","Florida","1994-03-03","0","0","1","0","1","Hispanic","Non-Hispanic","1","Intimidation","1","Miami","Anti-Hispanic Bias","Adult","False","False"
"50","1995","Village Police Department","GA","Georgia","1995-04-04","1","0","1","1","0","White","Non-Hispanic","1","Hate Crime Against Property","1","Atlanta","Anti-White Bias","Adult","True","False"
